,Unnamed: 0,mood,arousal,valence,activity,screen,communication,social,travel,weather,gsm,amusement,system
3,2014-04-16,6.8,0.2,0.2,0.08589519140989732,0.0408231134353965,0.0051806944444444435,0.028207997685185195,0.0,0.0,0.2857142857142857,0.0,0.2437323379629629
4,2014-04-17,6.0,0.0,-0.2,0.08151591851429837,0.07062821759945813,0.026558831018518508,0.030501631944444437,0.0012485532407407408,0.0,0.0,0.0,0.018280104166666672
5,2014-04-18,7.2,0.6,0.8,0.07688394772517218,0.12109452546746648,0.03683243055555556,0.07179682870370371,0.0,0.0,1.0,0.0,0.05260652777777782
6,2014-04-19,8.0,1.0,1.0,0.21578447641476228,0.036918703712247064,0.01224945601851852,0.019136539351851858,0.0,0.0,0.0,0.0,0.13366689814814814
7,2014-04-20,8.0,0.6,1.0,0.03286715657025878,0.08252100693958772,0.01008900462962963,0.06640357638888889,0.0,0.0,0.0,0.0007439699074074074,0.004522303240740741
8,2014-04-21,6.4,-0.2,0.0,0.09398120123755717,0.08931989583980156,0.024446087962962968,0.05263288194444446,0.0,0.0,0.0,0.0022053587962962964,0.009986481481481478
9,2014-04-22,7.25,0.5,1.0,0.10722584231432684,0.08777956020776874,0.03047877314814815,0.027084618055555548,0.0,7.197916666666664e-05,0.0,0.0,0.07602848379629637
10,2014-04-23,6.2,0.2,0.2,0.0960912896231939,0.0760665509325487,0.016835405092592588,0.04062052083333335,0.0,0.0001414699074074074,0.2857142857142857,0.00012855324074074077,0.01756972222222222
11,2014-04-24,5.8,0.0,-0.4,0.07687226020351642,0.08627431713872491,0.04261722222222221,0.028410462962962964,0.0,0.00043122685185185186,0.2857142857142857,0.0007692708333333334,0.08453259259259263
12,2014-04-25,6.6,0.2,0.4,0.11031263954857312,0.1128044444543344,0.04948540509259261,0.04418453703703705,0.001588414351851852,0.0012014699074074074,0.14285714285714285,0.0005134953703703704,0.08858089120370374
13,2014-04-26,8.0,1.0,1.0,0.2841226975153143,0.06949106481340192,0.03797592592592592,0.019814120370370374,0.0013736805555555555,0.0,0.42857142857142855,0.0006461805555555554,0.009370416666666664
14,2014-04-27,7.8,0.8,0.8,0.07877714894532081,0.027192060191322268,0.00618366898148148,0.010116412037037038,0.0011281944444444445,0.0002912268518518518,0.8571428571428571,0.000897291666666667,0.007886099537037035
19,2014-05-02,7.2,0.2,0.8,0.1430287453399221,0.054915231491128584,0.01945760416666667,0.02525805555555556,0.000838125,0.0001397685185185185,0.0,0.003551157407407408,0.008484490740740737
20,2014-05-03,7.8,0.0,0.8,0.046457482065535634,0.045251747700903164,0.012605532407407407,0.04040079861111112,0.0,0.0,0.42857142857142855,0.0005852314814814814,0.014070057870370365
21,2014-05-04,7.4,-0.2,0.4,0.01751778609994721,0.051178599532555616,0.0044265972222222215,0.040349317129629636,0.0,0.0,0.0,0.0008976273148148149,0.00484152777777778
22,2014-05-05,6.5,0.25,0.25,0.0992824107043948,0.046511608800954285,0.006386412037037037,0.02894247685185185,0.0,0.0,0.42857142857142855,0.0005709953703703704,0.010236782407407405
