,Unnamed: 0,mood,arousal,valence,activity,screen,communication,social,travel,gsm,amusement,system
3,2014-03-25,6.2,-0.4,0.6,0.27495405128584044,0.24862753471290616,0.06661211805555553,0.0,0.0020878703703703697,0.0,0.1535345601851852,0.02528489583333333
4,2014-03-26,7.0,-0.25,1.25,0.40504885492795534,0.13187427080339856,0.08063243055555558,0.0016859837962962955,0.000255625,0.4,0.03061765046296297,0.008109803240740737
5,2014-03-27,7.0,0.75,1.25,0.3562184343434343,0.10559276619995088,0.04320018518518517,0.00017479166666666668,0.0004879629629629629,0.0,0.06583300925925925,0.011632164351851852
6,2014-03-28,7.0,0.6,1.2,0.4054120879120879,0.06402993053473806,0.050542719907407385,0.0,6.968749999999999e-05,0.0,0.013835798611111116,0.0027503009259259264
7,2014-03-29,7.25,0.25,1.5,0.3971758776890901,0.12257835648126075,0.057634270833333376,0.0011247222222222225,0.0006495023148148148,0.0,0.04814109953703705,0.01874384259259259
8,2014-03-30,7.0,0.0,1.2,0.4181943516042781,0.0888279629526315,0.03369106481481481,0.006049814814814817,0.0,0.2,0.03413591435185185,0.009615844907407406
9,2014-03-31,7.5,-0.25,1.5,0.383014657192235,0.1841851388745837,0.1035927893518518,0.003216689814814815,0.00039559027777777786,0.2,0.05041195601851853,0.027251111111111108
10,2014-04-01,7.5,0.0,2.0,0.5112974987974988,0.10652130785915584,0.07091768518518524,0.002328819444444445,0.004161296296296297,0.0,0.00975465277777778,0.013111817129629628
11,2014-04-02,7.0,0.5,1.0,0.4693480702055397,0.13083564815145954,0.05728631944444443,0.00039951388888888887,0.013946319444444449,0.8,0.04092305555555555,0.01744225694444445
12,2014-04-03,7.0,0.5,1.0,0.3605606998977928,0.16828593751346627,0.07070375000000004,0.0005858680555555555,0.0017735763888888888,0.2,0.06966587962962963,0.024300081018518518
13,2014-04-04,7.0,1.0,1.0,0.5438427062553628,0.13834543980934005,0.10118943287037037,0.0003254166666666667,0.0006396064814814813,0.4,0.020483194444444446,0.015182789351851857
14,2014-04-05,6.5,0.75,1.0,0.3916318101453476,0.07535253471522421,0.05990717592592591,0.0,0.0,0.2,0.008346805555555555,0.005713379629629629
19,2014-04-10,7.0,0.0,0.8,0.28412621329988913,0.2565845138938338,0.06605886574074074,0.007738726851851854,0.0,0.2,0.1568478819444445,0.01913627314814816
20,2014-04-11,7.0,0.4,1.0,0.34538736402324105,0.1342528703670811,0.10658560185185184,0.00028202546296296287,0.009462905092592594,0.8,0.00838652777777778,0.00962287037037037
21,2014-04-12,7.75,-0.25,1.0,0.3283472785449071,0.07657282406809147,0.03787459490740742,0.001653530092592592,0.0015798611111111115,0.0,0.02671039351851853,0.0024306134259259263
22,2014-04-13,7.2,0.6,1.0,0.3625992063492064,0.08823909718681268,0.04685685185185185,0.0001253125,0.0,0.2,0.031845590277777766,0.005951875
