,Unnamed: 0,mood,arousal,valence,activity,screen,communication,social,gsm,amusement,system
1,2014-03-22,6.6,-1.4,0.4,0.086579268612413,0.055046863431731916,0.02132995370370369,0.0008288541666666666,0.4666666666666667,0.0,0.037544108796296286
2,2014-03-23,7.0,-0.8,0.8,0.029460438699569155,0.011531493040146652,0.002918622685185185,0.0007826273148148148,0.26666666666666666,0.0,0.006625682870370372
3,2014-03-24,6.0,-0.4,0.4,0.1138894460613641,0.024806701400213776,0.039750509259259256,0.0,0.3333333333333333,0.0003023726851851852,0.004450891203703704
4,2014-03-25,5.5,-1.25,0.25,0.11325160672351993,0.05542842591250386,0.0454946412037037,0.0,0.8,0.0,0.012179872685185179
5,2014-03-26,6.0,-0.6,0.4,0.10891482612696544,0.05108099536487351,0.03829336805555556,0.0016174305555555553,0.4,0.0,0.010545289351851849
6,2014-03-27,6.6,0.0,0.6,0.13220460848007368,0.04161417822319049,0.02505922453703704,0.0022036921296296297,0.5333333333333333,0.0028069212962962965,0.010187118055555559
7,2014-03-28,6.6,-0.6,1.2,0.14887226502146786,0.03161063656486846,0.014138263888888891,0.0003041666666666667,0.6,0.0065144560185185175,0.009853831018518514
8,2014-03-29,7.4,0.2,1.2,0.13795426002920014,0.02028873842347551,0.011141203703703705,0.0,0.8,0.000986990740740741,0.007040775462962962
9,2014-03-30,7.0,-0.4,0.8,0.06452367036820571,0.011860150460291787,0.007991157407407409,0.0,0.3333333333333333,0.0,0.0333092361111111
10,2014-03-31,7.2,-0.4,1.0,0.13012099954924494,0.07166171295775302,0.060288668981481476,0.0,0.4666666666666667,0.0,0.009925162037037031
11,2014-04-01,6.4,0.0,0.2,0.13346682929400022,0.041324895843863486,0.05496776620370369,0.0,0.06666666666666668,0.0,0.006846076388888889
12,2014-04-02,7.6,-0.2,1.0,0.07716355485107416,0.021473090281641037,0.01367866898148148,0.0005522800925925926,0.2,0.0,0.006771608796296296
13,2014-04-03,6.6,0.0,0.6,0.07307714752567697,0.03623869213517065,0.02816106481481482,0.0,0.13333333333333333,0.0,0.007574930555555556
14,2014-04-04,7.0,-0.2,0.4,0.15702115397103714,0.04570988426881808,0.02446385416666667,0.002539421296296297,0.7333333333333333,0.0,0.01701984953703703
15,2014-04-05,8.0,-0.6,1.2,0.13595576600004894,0.025626435194302487,0.012610636574074073,0.0006177083333333332,0.7333333333333333,0.004178032407407407,0.007445393518518515
16,2014-04-06,7.25,-1.25,1.0,0.09422410643417788,0.02861391203546965,0.019192303240740748,0.0,0.6,0.0,0.008843576388888885
17,2014-04-07,6.6,-1.0,0.6,0.18343492913073647,0.04438706021342013,0.03467097222222222,0.0024835648148148147,0.7333333333333333,0.0,0.017432754629629617
18,2014-04-08,6.8,-0.4,1.0,0.08906279785658472,0.03360478009890625,0.02228091435185186,0.0,0.6666666666666666,0.0,0.012128124999999995
19,2014-04-09,7.2,-0.4,0.8,0.11756512889589064,0.03532386575860006,0.0285544675925926,0.0,0.6,0.0,0.006047627314814813
20,2014-04-10,6.75,-0.5,0.75,0.07280121100164204,0.012122627322872484,0.00498974537037037,0.0007825694444444442,0.26666666666666666,0.0,0.03711581018518518
21,2014-04-11,6.8,-0.6,1.0,0.1110938994618982,0.032115763903216084,0.019273587962962958,0.0007113657407407407,0.4,0.0,0.011596828703703705
22,2014-04-12,7.2,0.2,0.8,0.06605497341205051,0.021337870367699213,0.011321990740740742,0.004502604166666666,0.4,0.0,0.008429814814814815
23,2014-04-13,7.2,-0.6,1.0,0.11367449436267445,0.01743526618789744,0.01017957175925926,0.002625879629629629,0.4,0.0,0.003899722222222222
24,2014-04-14,7.0,0.4,0.8,0.14592902118511944,0.0578931134166541,0.0436025462962963,0.0024134837962962964,1.0,0.0,0.03442686342592592
25,2014-04-15,6.4,-1.0,1.0,0.130765639589169,0.04956765047102065,0.03939064814814816,0.0002222453703703704,0.26666666666666666,0.0,0.00851009259259259
26,2014-04-16,6.8,-0.6,1.0,0.07721354166666666,0.02166562500375288,0.08293002314814815,0.004105659722222222,0.3333333333333333,0.0,0.002524965277777777
27,2014-04-17,6.8,-0.8,1.0,0.1014676704014939,0.055161712945059525,0.06224109953703703,0.0011336458333333335,0.06666666666666668,0.0,0.0019417361111111109
37,2014-04-27,6.333333333333332,-1.5,0.8333333333333334,0.04486664230909752,0.03505354166582779,0.029194340277777783,0.004585532407407407,0.26666666666666666,0.0,0.006872997685185178
38,2014-04-28,6.4,0.0,0.6,0.10377999025697232,0.034400520818652934,0.047828912037037055,0.006937222222222225,0.26666666666666666,0.0,0.005507615740740739
39,2014-04-29,7.2,0.4,0.6,0.02568243249036055,0.02614641201992829,0.019904016203703703,0.002005856481481481,0.4,0.0,0.01321936342592593
40,2014-04-30,7.0,0.4,0.8,0.04454670107302972,0.03626508100993103,0.021433078703703704,0.0042938657407407405,0.8,5.931712962962962e-05,0.009867083333333335
41,2014-05-01,6.8,-0.2,0.8,0.12626491862973474,0.036377141196970615,0.025599710648148137,0.0038772916666666678,0.13333333333333333,0.0,0.006312962962962965
42,2014-05-02,7.8,0.4,1.2,0.19230524793625595,0.016584039358077233,0.011289317129629628,0.0,0.6,0.0,0.010919282407407407
43,2014-05-03,7.4,0.4,1.0,0.1901187625754255,0.03701597223403279,0.027274837962962973,0.0001050462962962963,1.0,0.0,0.00877568287037037
44,2014-05-04,6.6,-0.4,0.8,0.06944999498758415,0.031012581021145538,0.04032380787037036,0.005538090277777777,0.0,0.0,0.044074722222222217
45,2014-05-05,7.0,0.25,1.0,0.0,7.069444490803611e-05,7.057870370370371e-05,0.0,0.0,0.0,0.0
