predict_day,user,window,true_mood,weekday,weekend_day,mood,arousal,valence,activity,screen,communication,social,travel,gsm,amusement,system
2014-03-29,AS14.07,2014-03-26-2014-03-28,7.0,0,1,7.216666666666666,0.21666666666666667,0.8333333333333334,0.09703127389661148,0.12300297839774028,0.05448740354938273,0.018675976080246914,0.003482260802469137,0.45098039215686275,0.014270054012345679,0.02699235339506174
2014-03-30,AS14.07,2014-03-27-2014-03-29,6.2,0,1,7.3500000000000005,0.21666666666666667,0.9666666666666667,0.07655864798535314,0.1283470138907433,0.044558722993827175,0.02179788966049383,0.0038835378086419757,0.3137254901960784,0.030033117283950615,0.024527816358024698
2014-03-31,AS14.07,2014-03-28-2014-03-30,4.333333333333333,1,0,7.1499999999999995,0.21666666666666667,0.8333333333333334,0.067516385432059,0.12460863812286178,0.041902110339506186,0.017975308641975312,0.004710243055555555,0.17647058823529413,0.031364965277777775,0.023744972993827163
2014-04-01,AS14.07,2014-03-29-2014-03-31,6.6,1,0,5.844444444444444,-0.19999999999999998,0.3333333333333333,0.05193846351364734,0.12539337962957814,0.042629405864197535,0.01950469907407408,0.0030156558641975307,0.2745098039215686,0.03766047839506173,0.019875748456790118
2014-04-02,AS14.07,2014-03-30-2014-04-01,5.5,1,0,5.711111111111111,-0.6,0.26666666666666666,0.06490059833773708,0.14130763117086007,0.06374297067901236,0.017899375000000002,0.0018283410493827163,0.39215686274509803,0.035330783179012344,0.018023472222222225
2014-04-03,AS14.07,2014-03-31-2014-04-02,6.2,1,0,5.477777777777778,-1.0833333333333333,0.35000000000000003,0.09610526265867918,0.1590166319364015,0.06407356867283949,0.01668727237654321,0.003546763117283949,0.6666666666666666,0.039638954475308644,0.026415073302469148
2014-04-04,AS14.07,2014-04-01-2014-04-03,6.5,0,1,6.1000000000000005,-0.8833333333333333,0.4166666666666667,0.10907106267902904,0.13928516588737197,0.06120180555555555,0.010487295524691359,0.003768649691358023,0.6470588235294118,0.03996098765432099,0.02405354552469137
2014-04-05,AS14.07,2014-04-02-2014-04-04,6.0,0,1,6.066666666666666,-0.7999999999999999,0.15,0.0986937687856871,0.12124457561859374,0.051734378858024704,0.011446597222222223,0.003966064814814813,0.607843137254902,0.02807295524691358,0.023853908179012354
2014-04-06,AS14.07,2014-04-03-2014-04-05,6.75,0,1,6.233333333333333,-0.3833333333333333,0.2888888888888889,0.12373347814922997,0.09056295139462119,0.04077126157407409,0.012574984567901232,0.0017972106481481487,0.5490196078431372,0.022844888117283954,0.016394810956790126
2014-04-07,AS14.07,2014-04-04-2014-04-06,5.4,1,0,6.416666666666667,-0.5,0.5555555555555555,0.11241757371259924,0.08895630016279071,0.03515197530864198,0.016003560956790123,0.0007734104938271606,0.5490196078431373,0.017163229166666665,0.01573650077160494
2014-04-08,AS14.07,2014-04-05-2014-04-07,6.8,1,0,6.05,-0.45,0.6222222222222221,0.12271550227758331,0.11531600308639034,0.037459371141975305,0.026377770061728395,0.0005759953703703705,0.39215686274509803,0.032638506944444444,0.018614648919753087
2014-04-09,AS14.07,2014-04-06-2014-04-08,6.4,1,0,6.316666666666666,-0.5833333333333334,0.6,0.07121364882624981,0.13209581790055022,0.05995979938271606,0.02365648919753086,0.0,0.13725490196078433,0.034305165895061725,0.014290327932098765
