indexje,predict_day,user,window,mood,arousal,valence,activity,true_mood,indexje
0,2014-03-25,AS14.01,2014-03-21-2014-03-24,6.3500000000000005,0.45,0.375,0.14815812378750212,6.75,0.0
1,2014-03-26,AS14.01,2014-03-22-2014-03-25,6.4875,0.525,0.45,0.13923912588778165,6.6,1.0
2,2014-03-27,AS14.01,2014-03-23-2014-03-26,6.5375,0.325,0.475,0.10534615149531108,7.0,2.0
3,2014-03-28,AS14.01,2014-03-24-2014-03-27,6.5875,0.325,0.47500000000000003,0.10953853278631955,6.4,3.0
4,2014-03-29,AS14.01,2014-03-25-2014-03-28,6.6875,-0.024999999999999994,0.625,0.11372277416670008,8.0,4.0
14,2014-04-08,AS14.01,2014-04-04-2014-04-07,6.5,-0.4041666666666667,0.4375,0.09019250850688931,6.6,14.0
15,2014-04-09,AS14.01,2014-04-05-2014-04-08,6.6,-0.5541666666666666,0.42083333333333334,0.07735194527039499,7.4,15.0
16,2014-04-10,AS14.01,2014-04-06-2014-04-09,6.75,-0.6541666666666666,0.5208333333333333,0.0776973983526158,7.4,16.0
17,2014-04-11,AS14.01,2014-04-07-2014-04-10,6.975,-0.5666666666666667,0.5958333333333333,0.08133622479072156,7.0,17.0
18,2014-04-12,AS14.01,2014-04-08-2014-04-11,7.1,-0.7,0.7333333333333334,0.0886651200154072,7.25,18.0
19,2014-04-13,AS14.01,2014-04-09-2014-04-12,7.2625,-0.7875000000000001,0.8375,0.08789562081764962,8.0,19.0
20,2014-04-14,AS14.01,2014-04-10-2014-04-13,7.4125,-0.9,0.8375,0.06130492442316012,7.2,20.0
21,2014-04-15,AS14.01,2014-04-11-2014-04-14,7.3625,-1.1,0.7875,0.0625359767419084,6.4,21.0
22,2014-04-16,AS14.01,2014-04-12-2014-04-15,7.2125,-0.8,0.7875000000000001,0.06506746441882458,7.2,22.0
23,2014-04-17,AS14.01,2014-04-13-2014-04-16,7.2,-0.42500000000000004,0.7250000000000001,0.07603278308302558,6.6,23.0
24,2014-04-18,AS14.01,2014-04-14-2014-04-17,6.85,-0.2125,0.625,0.08675691501245711,6.8,24.0
25,2014-04-19,AS14.01,2014-04-15-2014-04-18,6.750000000000001,-0.11250000000000002,0.675,0.08929333806873008,7.8,25.0
26,2014-04-20,AS14.01,2014-04-16-2014-04-19,7.1000000000000005,-0.16250000000000003,0.7250000000000001,0.09162327780450882,7.25,26.0
27,2014-04-21,AS14.01,2014-04-17-2014-04-20,7.1125,-0.41250000000000003,0.7875,0.08129975453350728,7.6,27.0
28,2014-04-22,AS14.01,2014-04-18-2014-04-21,7.362500000000001,-0.375,0.8875,0.09258055510754487,7.4,28.0
29,2014-04-23,AS14.01,2014-04-19-2014-04-22,7.512499999999999,-0.12499999999999999,0.9375,0.09205469138937386,7.6,29.0
30,2014-04-24,AS14.01,2014-04-20-2014-04-23,7.4625,-0.024999999999999994,0.9375,0.07869313574185519,7.6,30.0
31,2014-04-25,AS14.01,2014-04-21-2014-04-24,7.550000000000001,-0.0625,1.0,0.07271482202958476,7.2,31.0
32,2014-04-26,AS14.01,2014-04-22-2014-04-25,7.45,-0.05,0.95,0.07446982319672982,7.6,32.0
33,2014-04-27,AS14.01,2014-04-23-2014-04-26,7.5,-0.15000000000000002,0.95,0.10504962814721552,7.5,33.0
34,2014-04-28,AS14.01,2014-04-24-2014-04-27,7.475,-0.2,0.95,0.10117293681351508,7.6,34.0
35,2014-04-29,AS14.01,2014-04-25-2014-04-28,7.475,-0.30000000000000004,0.8999999999999999,0.09336602039960622,7.0,35.0
36,2014-04-30,AS14.01,2014-04-26-2014-04-29,7.425,-0.3125,0.95,0.09179031662277548,7.8,36.0
37,2014-05-01,AS14.01,2014-04-27-2014-04-30,7.4750000000000005,-0.36250000000000004,0.8875,0.07599098847690358,8.0,37.0
38,2014-05-02,AS14.01,2014-04-28-2014-05-01,7.6,-0.4625,0.8875,0.07763757456407691,7.6,38.0
39,2014-05-03,AS14.01,2014-04-29-2014-05-02,7.6,-0.3125,0.9375,0.0920539987536711,8.0,39.0
40,2014-05-04,AS14.01,2014-04-30-2014-05-03,7.85,-0.3,0.9375,0.084299657845088,8.0,40.0
