,Unnamed: 0,mood,arousal,valence,activity,screen,communication,office,social,gsm,amusement,system
10,2014-03-27,6.333333333333332,0.0,0.5,0.08701150136063529,0.028741689818324867,0.02287949074074075,0.0,0.02482652777777778,0.4615384615384616,0.0,0.0017619791666666671
11,2014-03-28,6.25,-0.25,0.5,0.016559762046113646,0.022415023150819318,0.011102500000000001,0.0,0.008175937500000003,1.0,0.0,0.0096575
12,2014-03-29,7.166666666666668,-0.16666666666666666,1.0,0.02494412062743703,0.013794317137863887,0.006205648148148147,0.0,0.005156261574074074,0.15384615384615385,0.0007510300925925925,0.0005416087962962963
13,2014-03-30,6.8,0.0,0.6,0.0784470781932718,0.009026539339511482,0.0025337384259259263,0.0,0.005862905092592593,0.0,0.0,0.00011488425925925925
14,2014-03-31,7.6,0.0,1.2,0.07893465181771635,0.019334965273737903,0.014239849537037035,0.0,0.00529423611111111,0.0,0.00023361111111111109,0.0001977199074074074
15,2014-04-01,7.2,-1.0,1.0,0.06235385458531235,0.02400947917390754,0.018791550925925923,0.0,0.01127681712962963,0.0,0.0010660300925925926,0.00036122685185185183
16,2014-04-02,6.6,-0.4,0.8,0.008289547359385427,0.008064930563171705,0.020947245370370363,0.0,0.002409560185185185,0.0,0.0002216898148148148,0.0006251157407407408
17,2014-04-03,7.0,0.0,1.3333333333333333,0.07876788563729692,0.03284280091248178,0.0273716550925926,0.0,0.008783055555555556,0.0,0.0,0.0010074537037037038
18,2014-04-04,7.5,0.25,1.25,0.03112397258727364,0.01464708334317915,0.009993888888888887,0.0,0.019021469907407402,0.15384615384615385,0.0,0.0020528009259259267
19,2014-04-05,7.4,0.2,1.2,0.12841414141414145,0.020086203703173888,0.011016331018518516,0.0,0.007332418981481484,0.0,0.0008901388888888889,0.0002974189814814815
20,2014-04-06,7.6,0.0,1.25,0.007280235288804587,0.015000092596919456,0.0038421527777777772,0.0,0.0061668634259259255,0.0,0.00012768518518518521,0.0009277777777777776
21,2014-04-07,7.0,0.0,1.0,0.1024731337951504,0.051412662019332235,0.027537824074074083,0.0,0.014450069444444453,0.5384615384615384,0.004263842592592593,0.004230347222222221
22,2014-04-08,6.5,-0.25,0.5,0.058148292227969176,0.029681562510905424,0.01819761574074074,0.0,0.012487615740740742,0.0,0.0010783217592592591,0.0011465393518518515
23,2014-04-09,6.25,0.25,0.5,0.04036626596543954,0.027828703707566963,0.02048775462962964,0.0,0.023041215277777784,0.0,0.0,0.0013736111111111113
24,2014-04-10,7.6,1.2,1.4,0.20657326274273785,0.05047170138745395,0.036594247685185176,0.0,0.010153622685185187,0.0,0.0026704398148148147,0.0015959375
25,2014-04-11,7.6,0.6,1.0,0.0741355491619204,0.01830927084165591,0.005240138888888888,0.0,0.011462048611111109,0.07692307692307693,0.00037207175925925917,0.0006360416666666666
26,2014-04-12,7.0,0.0,0.8,0.025027439155129103,0.00887810185275696,0.022133761574074075,0.0,0.0060123032407407425,0.0,0.0,0.0
27,2014-04-13,7.6,0.0,1.2,0.0048270957916190715,0.024062037040238026,0.007620405092592595,0.0,0.0332664351851852,0.0,0.002564386574074074,0.00015266203703703706
28,2014-04-14,6.6,0.2,0.6,0.06490308655585146,0.039653657418158336,0.02235798611111111,0.0005236226851851851,0.01298238425925926,0.0,0.0009406597222222223,0.0013936226851851852
29,2014-04-15,6.4,-0.8,0.6,0.03409090909090909,0.03645229165752732,0.023928692129629642,0.0,0.008237465277777778,0.0,0.00041885416666666666,0.0036324768518518524
30,2014-04-16,6.6,-0.6,0.8,0.0685973564143854,0.01995674767979869,0.009877418981481484,0.0005590162037037037,0.006892939814814817,0.0,0.0002599305555555555,0.0018017592592592595
31,2014-04-17,6.2,-1.0,0.8,0.09718156742586877,0.037724618048027694,0.011769479166666671,0.0,0.007826678240740742,0.0,0.0016749652777777774,0.0013248726851851852
32,2014-04-18,6.0,-0.4,0.6,0.049041986144740375,0.010840370365315008,0.00206056712962963,0.0,0.007857812499999997,0.0,0.0,0.00010343750000000004
33,2014-04-19,7.8,1.4,1.2,0.03900289438614025,0.02726075230097333,0.00972460648148148,0.0,0.012641446759259257,0.0,0.0010250578703703704,0.0038354745370370365
34,2014-04-20,6.4,-1.2,0.8,0.004899344795389425,0.015249849533041326,0.0009842824074074077,0.0,0.06811030092592593,0.0,0.0020085879629629625,0.026700381944444445
35,2014-04-21,6.4,-1.0,0.6,0.02929495966675192,0.024028865736391816,0.006946875000000001,5.824074074074074e-05,0.010481990740740741,0.0,0.005060925925925926,0.001112824074074074
36,2014-04-22,6.0,-0.6,0.4,0.07739994303879247,0.021055844903544136,0.009205,0.0,0.00975987268518518,0.0,0.0002441435185185185,0.0012672685185185185
37,2014-04-23,5.6,0.0,0.4,0.12497602724903792,0.017992187503863256,0.012093564814814816,0.0,0.005045416666666666,0.0,0.0,0.0017812962962962969
38,2014-04-24,6.666666666666668,0.3333333333333333,1.0,0.1280059119507768,0.022745694438064547,0.01470679398148148,0.0,0.006418657407407408,0.0,0.0009594444444444443,0.000306550925925926
39,2014-04-25,6.333333333333332,0.0,0.8,0.02832101254480285,0.02320436343274736,0.1198080787037037,0.0018905555555555555,0.009408240740740738,0.0,0.0,0.0010682523148148148
40,2014-04-26,6.0,-0.5,0.25,0.047178819444444485,0.008132453709840774,0.0018121759259259263,0.0,0.002750277777777778,0.0,0.0,0.0031997685185185193
41,2014-04-27,6.0,-0.8333333333333334,0.6666666666666666,0.00542983716475096,0.02579152777791023,0.008156516203703706,0.0,0.008109849537037039,0.2307692307692308,0.009672916666666666,0.001159988425925926
42,2014-04-28,5.8,-0.8,0.6,0.02225241545893721,0.010008773152474998,0.001420636574074074,0.0,0.005344629629629628,0.0,0.0012634490740740742,0.0014809606481481481
43,2014-04-29,5.75,-0.25,0.25,0.03099614845938376,0.023442569444025,0.01339304398148148,0.0,0.008034791666666666,0.0,0.0012894444444444446,0.0002490162037037037
44,2014-04-30,6.666666666666668,-0.5,1.0,0.034825039929765,0.04628473378165997,0.0369491550925926,0.0,0.006054386574074072,0.0,0.002344375,0.0004488541666666666
45,2014-05-01,7.0,0.4,0.8,0.03731409855296445,0.06318050926482231,0.1149678587962963,0.0,0.005126122685185184,0.0,0.043423009259259265,0.0034636574074074075
46,2014-05-02,7.2,-0.4,1.0,0.1817380077030812,0.008138564819539033,0.0018282523148148145,0.0,0.005052013888888889,0.0,0.00034048611111111123,0.000381875
47,2014-05-03,7.4,0.4,1.0,0.2218137298647596,0.010222893517326423,0.015306365740740747,0.0,0.005059780092592593,0.0,0.0,0.001518240740740741
48,2014-05-04,6.8,-0.2,1.0,0.04327761276924563,0.022785659727674944,0.009027870370370368,0.0,0.007886701388888894,0.07692307692307693,0.0,0.0018753703703703703
49,2014-05-05,6.666666666666668,-1.0,1.0,0.002604166666666669,0.003053414349754648,0.00042342592592592594,0.0,0.002366689814814815,0.0,0.0,0.0
