predict_day,user,window,true_mood,weekday,weekend_day,mood,arousal,valence,activity,screen,communication,social,travel,weather,gsm,amusement,system
2014-04-20,AS14.26,2014-04-16-2014-04-19,8.0,0,1,7.0,0.45,0.45,0.11501988351603254,0.06736614005364204,0.02020535300925926,0.037410749421296303,0.0003121383101851852,0.0,0.3214285714285714,0.0,0.11207146701388888
2014-04-21,AS14.26,2014-04-17-2014-04-20,6.4,1,0,7.3,0.55,0.65,0.10176287480612291,0.07779061342968985,0.021432430555555555,0.046959644097222225,0.0003121383101851852,0.0,0.25,0.00018599247685185185,0.052268958333333344
2014-04-22,AS14.26,2014-04-18-2014-04-21,7.25,1,0,7.4,0.5,0.7,0.1048791954869376,0.0824635329897757,0.02090424479166667,0.05249245659722223,0.0,0.0,0.25,0.000737332175925926,0.05019555266203705
2014-04-23,AS14.26,2014-04-19-2014-04-22,6.2,1,0,7.4125,0.47500000000000003,0.75,0.11246466913422627,0.07413479167485126,0.019315830439814816,0.041314403935185186,0.0,1.799479166666666e-05,0.0,0.000737332175925926,0.05605104166666668
2014-04-24,AS14.26,2014-04-20-2014-04-23,5.8,1,0,6.9624999999999995,0.27499999999999997,0.55,0.08254137243633418,0.08392175347992668,0.020462317708333334,0.046685399305555556,0.0,5.336226851851851e-05,0.07142857142857142,0.0007694704861111112,0.027026747685185204
2014-04-25,AS14.26,2014-04-21-2014-04-24,6.6,0,1,6.4125000000000005,0.125,0.19999999999999998,0.0935426483446486,0.08486008102971097,0.02859437210648148,0.03718712094907408,0.0,0.00016116898148148148,0.14285714285714285,0.0007757957175925927,0.04702932002314818
2014-04-26,AS14.26,2014-04-22-2014-04-25,8.0,0,1,6.4625,0.22499999999999998,0.3,0.09762550792240257,0.09073121818334419,0.03485420138888889,0.03507503472222223,0.000397103587962963,0.00046153645833333333,0.17857142857142855,0.00035282986111111116,0.06667792245370374
2014-04-27,AS14.26,2014-04-23-2014-04-26,7.8,0,1,6.65,0.35,0.3,0.14184972172264942,0.0861590943347525,0.03672848958333333,0.03325741030092593,0.0007405237268518518,0.0004435416666666667,0.2857142857142857,0.000514375,0.050013405671296314
2014-05-02,AS14.26,2014-04-28-2014-05-01,7.2,0,1,6.9,0.35000000000000003,0.5,0.11458145405054679,0.0673534288181475,0.025834293981481488,0.02433853298611112,0.0,0.00017162326388888886,0.3214285714285714,0.0008080787037037035,0.017543307291666664
2014-05-03,AS14.26,2014-04-29-2014-05-02,7.8,0,1,6.7,0.15,0.45,0.11033513898496707,0.06470634549166318,0.023311472800925933,0.024511617476851856,0.00020953125,0.00020656539351851847,0.17857142857142858,0.0009965190972222224,0.017648151041666664
2014-05-04,AS14.26,2014-04-30-2014-05-03,7.4,0,1,7.0,0.0,0.55,0.09758455871877807,0.06292620949447156,0.02332725983796297,0.02802172743055556,0.00020953125,3.494212962962963e-05,0.2857142857142857,0.0011428269675925929,0.01726299189814814
2014-05-05,AS14.26,2014-05-01-2014-05-04,6.5,1,0,7.300000000000001,0.0,0.6,0.08095706079932041,0.05385664352319307,0.012406614583333335,0.031617343750000006,0.00020953125,3.494212962962963e-05,0.2857142857142857,0.001258504050925926,0.015380049189814808
