predict_day,user,window,true_mood,weekday,weekend_day,mood,arousal,valence,activity,screen,communication,office,social,travel,gsm,amusement,system
2014-05-17,AS14.24,2014-05-13-2014-05-16,7.6,0,1,6.525,-0.2625,0.4375,0.04818945873803753,0.07196147859510449,0.039877337962962965,0.00015435185185185186,0.004048480902777778,6.712962962962963e-05,0.40625,0.0007722048611111111,0.020720379050925927
2014-05-18,AS14.24,2014-05-14-2014-05-17,7.2,0,1,6.550000000000001,-0.30000000000000004,0.5,0.04213300013764823,0.07089601853034563,0.040362288773148146,0.00011348090277777778,0.0045078385416666665,6.712962962962963e-05,0.390625,0.00040974826388888886,0.022678561921296296
2014-05-19,AS14.24,2014-05-15-2014-05-18,7.4,1,0,7.05,-0.1,0.75,0.03327409183254726,0.07054027489834913,0.04258979456018518,0.00011348090277777778,0.0036700086805555553,0.0,0.359375,3.4424189814814814e-05,0.018752638888888888
2014-05-20,AS14.24,2014-05-16-2014-05-19,7.0,1,0,7.300000000000001,-0.08750000000000002,0.8375,0.021646543476901956,0.053810031838991024,0.03208992766203704,0.0,0.004173255208333332,0.0,0.1875,6.926215277777776e-05,0.014251484375000002
2014-05-21,AS14.24,2014-05-17-2014-05-20,6.2,1,0,7.300000000000001,-0.08750000000000002,0.8375,0.02732085089019967,0.048821333915133165,0.031278263888888894,0.0,0.0036506365740740744,0.0,0.234375,6.926215277777776e-05,0.015243906250000001
2014-05-22,AS14.24,2014-05-18-2014-05-21,6.6,1,0,6.95,0.0625,0.6875,0.03256819170505669,0.040837907984990755,0.02486711516203704,0.0,0.0030693026620370375,0.0,0.25,9.357349537037035e-05,0.01118806134259259
2014-05-23,AS14.24,2014-05-19-2014-05-22,6.8,0,1,6.800000000000001,0.2625,0.7375,0.03641827340440309,0.032294120364994905,0.01952369212962963,0.0,0.0025294473379629634,0.0,0.203125,5.914930555555555e-05,0.009924444444444444
2014-05-24,AS14.24,2014-05-20-2014-05-23,7.2,0,1,6.6499999999999995,0.15000000000000002,0.7000000000000001,0.03722916300361522,0.03468860242446814,0.018007291666666665,0.0,0.0033074189814814806,0.0,0.1875,0.00030144675925925917,0.010793370949074075
2014-05-25,AS14.24,2014-05-21-2014-05-24,7.0,0,1,6.7,0.15000000000000002,0.6500000000000001,0.028963844329491343,0.030579971057811253,0.01596921875,0.0,0.0025755844907407403,0.0,0.09375,0.00030144675925925917,0.00864365162037037
2014-05-26,AS14.24,2014-05-22-2014-05-25,7.0,1,0,6.8999999999999995,0.16249999999999998,0.8,0.027694129169416014,0.04383103298230303,0.014987977430555554,0.0,0.0024819039351851846,0.0,0.109375,0.0002771354166666666,0.009508940972222223
2014-05-27,AS14.24,2014-05-23-2014-05-26,6.2,1,0,7.0,0.21250000000000002,0.85,0.017843878093375853,0.042005937501650166,0.013114302662037038,0.0,0.0027747251157407404,0.0,0.09375,0.0002771354166666666,0.008611469907407408
2014-06-02,AS14.24,2014-05-29-2014-06-01,6.75,1,0,7.058333333333333,-0.04999999999999999,0.9166666666666666,0.07853459465706089,0.04814411747441799,0.027762094907407404,0.0,0.0034989351851851857,0.0,0.265625,0.0,0.015945980902777778
2014-06-03,AS14.24,2014-05-30-2014-06-02,7.8,1,0,6.995833333333334,0.1333333333333333,0.9666666666666667,0.0836535751745092,0.04893261863401642,0.026465280671296304,0.0,0.005231579861111111,0.0,0.28125,0.0006135706018518519,0.012871756365740738
2014-06-04,AS14.24,2014-05-31-2014-06-03,7.0,1,0,7.095833333333333,0.18333333333333335,0.9166666666666666,0.097601748988526,0.05123195601351282,0.0270402025462963,0.0,0.004717598379629629,0.0,0.25,0.0006135706018518519,0.015127902199074072
2014-06-05,AS14.24,2014-06-01-2014-06-04,7.0,1,0,7.095833333333333,0.05833333333333332,0.9166666666666666,0.05606807215748286,0.061413622679257825,0.03813547743055556,0.0,0.004917071759259258,0.0,0.28125,0.0006135706018518519,0.014090706018518515
2014-06-06,AS14.24,2014-06-02-2014-06-05,7.5,0,1,7.1375,0.30833333333333335,1.0,0.08231306462675783,0.05377087962503234,0.03422780092592592,0.0,0.003215671296296296,0.0006531741898148148,0.375,0.0006135706018518519,0.014542057291666667
