predict_day,user,window,true_mood,weekday,weekend_day,mood,arousal,valence,activity,screen,communication,finance,office,social,travel,gsm,amusement,system
2014-03-26,AS14.03,2014-03-22-2014-03-25,8.25,1,0,7.9,-0.09999999999999998,1.2,0.1287858787460892,0.051305069446701705,0.016056281828703698,0.0017046412037037037,0.0012395804398148149,0.0,0.0012845775462962965,0.4772727272727273,0.031586730324074073,0.006220295138888889
2014-03-27,AS14.03,2014-03-23-2014-03-26,7.75,1,0,8.0125,-0.17500000000000004,1.2,0.1037271018698937,0.05518944444203819,0.01847611400462962,0.001956785300925926,0.001299429976851852,0.0,0.0008340422453703703,0.2954545454545454,0.02707385127314815,0.005156061921296297
2014-03-28,AS14.03,2014-03-24-2014-03-27,8.0,0,1,7.9,-0.0625,1.025,0.10446436569602348,0.05006008969964804,0.01682258391203703,0.0018515653935185184,0.0008695659722222224,0.0,3.715277777777777e-05,0.34090909090909094,0.026820280671296298,0.0054837528935185184
2014-03-29,AS14.03,2014-03-25-2014-03-28,8.6,0,1,7.95,-0.037500000000000006,1.05,0.10794913208539834,0.04138646701074861,0.01294105324074074,0.0015471180555555555,0.0006406336805555555,0.0,3.715277777777777e-05,0.34090909090909094,0.02521075520833333,0.006025387731481482
2014-03-30,AS14.03,2014-03-26-2014-03-29,8.4,0,1,8.15,0.012499999999999997,1.15,0.115601395144188,0.03696019096989874,0.009607228009259257,0.00039500000000000006,0.00023242766203703704,0.0,3.715277777777777e-05,0.20454545454545456,0.02861877604166667,0.0029755381944444443
2014-03-31,AS14.03,2014-03-27-2014-03-30,7.4,1,0,8.1875,-0.1625,1.15,0.1339757736757817,0.03575284722157651,0.009401307870370372,0.00014285590277777777,0.0002486313657407408,0.0,0.0,0.20454545454545459,0.02770425347222222,0.002669490740740741
2014-04-01,AS14.03,2014-03-28-2014-03-31,7.6,1,0,8.1,-0.12499999999999997,1.1749999999999998,0.12908523139997619,0.053468738420418015,0.01947371238425925,0.00036707754629629634,0.0002097511574074074,0.0,0.0,0.20454545454545459,0.02783651909722222,0.006848686342592594
2014-04-02,AS14.03,2014-03-29-2014-04-01,7.4,1,0,8.0,0.1,0.9,0.12726899444178727,0.05333954860904702,0.01881086226851851,0.0005367563657407409,0.000256869212962963,0.0,0.0,0.18181818181818185,0.022844513888888893,0.007598373842592594
2014-04-03,AS14.03,2014-03-30-2014-04-02,7.8,1,0,7.699999999999999,0.2,0.65,0.10609669457385375,0.05653066261430029,0.020742662037037028,0.0005832494212962963,0.0003109751157407408,0.0,0.00015666956018518517,0.20454545454545459,0.02125966435185185,0.010014137731481482
2014-04-04,AS14.03,2014-03-31-2014-04-03,7.8,0,1,7.55,0.25,0.65,0.08584312935717998,0.05289648148127727,0.019184678819444433,0.0007918807870370371,0.00023492187500000005,0.0,0.00015666956018518517,0.20454545454545459,0.02141402199074074,0.06673605324074075
2014-04-05,AS14.03,2014-04-01-2014-04-04,7.6,0,1,7.65,0.2,0.85,0.08671137331236771,0.03505273147796591,0.008743145254629629,0.0007044762731481481,0.0002527546296296297,0.0,0.00015666956018518517,0.18181818181818182,0.02046522858796296,0.06258945891203704
2014-04-06,AS14.03,2014-04-02-2014-04-05,6.8,0,1,7.65,0.4,1.0,0.09096477268319902,0.036924456013711505,0.009896519097222221,0.0005347974537037038,0.00038005787037037045,0.0,0.00021366030092592593,0.2727272727272727,0.022401744791666664,0.06177752604166667
2014-04-07,AS14.03,2014-04-03-2014-04-06,7.4,1,0,7.5,0.39999999999999997,1.05,0.09048574198277917,0.044633683438102395,0.009635480324074075,0.0003454484953703704,0.00032595196759259263,0.0,5.699074074074075e-05,0.22727272727272727,0.028919962384259264,0.05933789930555556
2014-04-08,AS14.03,2014-04-04-2014-04-07,7.4,1,0,7.4,0.44999999999999996,1.05,0.10559261258004064,0.05251244211845376,0.012824892939814814,0.00039201678240740744,0.00068671875,0.0,5.699074074074075e-05,0.25,0.030137126736111117,0.004303315972222222
2014-04-09,AS14.03,2014-04-05-2014-04-08,7.8,1,0,7.299999999999999,0.5,1.0,0.10977369471731688,0.056113275455103986,0.012475567129629628,0.00033358217592592603,0.004994302662037038,0.0,5.699074074074075e-05,0.25,0.029952149884259264,0.005045321180555555
2014-04-10,AS14.03,2014-04-06-2014-04-09,7.4,1,0,7.3500000000000005,0.35,1.0,0.10419726863621327,0.05009782406811914,0.01147285011574074,0.0004254079861111112,0.004733260995370371,0.0,0.0,0.11363636363636365,0.02615743344907408,0.004353145254629628
2014-04-11,AS14.03,2014-04-07-2014-04-10,7.6,0,1,7.5,0.4,1.05,0.11202086454370264,0.05296157407608849,0.014507097800925926,0.0004254079861111112,0.004748356481481482,3.8252314814814814e-05,0.0,0.15909090909090912,0.021939053819444446,0.004621160300925925
2014-04-12,AS14.03,2014-04-08-2014-04-11,7.666666666666668,0,1,7.550000000000001,0.39999999999999997,1.05,0.10605190116438662,0.052811909722923135,0.014250885416666668,0.00021982928240740744,0.004414094328703704,3.8252314814814814e-05,0.0,0.11363636363636365,0.02371763310185185,0.0032052488425925924
