,Unnamed: 0,mood,arousal,valence,activity,screen,calls,sms,builtin,communication,entertainment,finance,game,office,other,social,travel,unknown,utilities,weather
4,2014-03-24,8.8,1.0,1.8,0.3074129857071034,4688.187000513077,2.0,0.0,341.12199999999996,3140.3840000000014,944.294,0,0,0.0,97.92,186.043,0.0,0.0,0.0,0
5,2014-03-25,7.6,1.2,1.8,0.09856848536516054,5026.947999477386,0.0,0.0,118.196,4322.160999999999,208.497,0,0,0.0,1139.661,381.36300000000006,550.99,0.0,25.496,0
6,2014-03-26,8.4,-1.0,1.0,0.30365512425991403,9064.927999734879,1.0,1.0,430.69199999999995,7317.156000000004,807.299,0,0,0.0,265.619,244.409,0.0,0.0,0.0,0
7,2014-03-27,7.4,-1.2,1.0,0.10809412957208693,8565.003998994824,0.0,1.0,17.725,7266.264999999998,733.7639999999999,0,0,0.0,524.9849999999999,352.816,289.617,0.0,0.0,0
8,2014-03-28,7.6,-1.0,1.2,0.3355837397178655,12150.351999759672,0.0,0.0,1688.5740000000005,5064.350999999999,1870.3229999999999,0,0,33.367999999999995,180.592,2989.3140000000008,263.01500000000004,0.0,0.0,0
9,2014-03-29,7.2,-1.8,1.0,0.3700853779840849,5617.916001319885,0.0,0.0,200.035,5104.883999999999,713.427,0,0,0.0,117.574,650.089,0.0,0.0,43.997,0
10,2014-03-30,6.2,-0.6,0.8,0.11063152039471913,9519.963999509811,0.0,0.0,27.302,7303.314999999999,431.246,0,0,0.0,1504.9979999999996,94.915,0.0,0.0,0.0,0
11,2014-03-31,7.0,-1.2,0.6,0.2922268907563025,5456.011997938156,1.0,0.0,543.1610000000002,2715.4290000000005,1138.739,0,0,0.0,74.55,726.8009999999997,0.0,0.0,0.0,0
12,2014-04-01,7.5,-1.5,1.0,0.43874834656084655,7494.296000480649,3.0,3.0,3216.0209999999993,4242.906000000001,706.467,0,0,0.0,136.14700000000002,4124.664000000002,0.0,13.518999999999998,0.0,0
13,2014-04-02,7.4,-1.2,1.0,0.3712079450379943,9194.638997077942,0.0,0.0,390.476,20718.749000000018,579.5100000000001,0,0,0.0,100.02,830.5859999999997,0.0,0.0,0.0,0
14,2014-04-03,7.6,-0.8,1.4,0.3039661452028189,11380.30199933052,3.0,7.0,1548.299999999999,12564.073,368.455,0,0,0.0,132.12699999999998,35.561,0.0,0.0,0.0,0
15,2014-04-04,7.8,-0.6,1.0,0.19674225941227166,8050.796003341671,0.0,3.0,918.5979999999997,7126.4050000000025,680.9830000000002,0,0,0.0,201.698,398.06800000000004,0.0,0.0,0.0,0
16,2014-04-05,6.8,0.2,0.8,0.15646127217935726,12458.326999664305,0.0,0.0,91.818,11836.061999999998,549.4929999999998,0,0,0.0,237.982,82.54799999999999,0.0,0.0,0.0,0
