predict_day,user,window,true_mood,weekday,weekend_day,mood,arousal,valence,activity,screen,communication,finance,office,social,travel,gsm,amusement,system
2014-04-08,AS14.31,2014-04-06-2014-04-07,7.0,1,0,6.6,0.1,0.2,0.15721712696323076,0.07630731481506868,0.009703240740740741,0.0005220023148148148,0.0,0.0004471701388888889,0.0,0.1388888888888889,0.001099236111111111,0.016463275462962966
2014-04-09,AS14.31,2014-04-07-2014-04-08,7.0,1,0,6.8,0.4,0.4,0.1450334927406084,0.05075885994980733,0.01024978587962963,0.0005816493055555555,0.00014159722222222224,0.0021357407407407406,0.0,0.1111111111111111,0.0019178530092592593,0.013990451388888887
2014-04-10,AS14.31,2014-04-08-2014-04-09,7.2,1,0,7.0,0.4,0.6,0.18137846637290983,0.04185451387807175,0.018937222222222223,0.0005292071759259259,0.0002128125,0.0031164756944444443,0.0,0.05555555555555555,0.003037488425925926,0.016336898148148142
2014-04-11,AS14.31,2014-04-09-2014-04-10,7.8,0,1,7.1,0.30000000000000004,0.6,0.21049819251342064,0.10056078702487325,0.039948553240740724,0.00015679976851851852,0.0004851851851851852,0.003093078703703704,0.0,0.16666666666666669,0.0022957523148148147,0.02262186921296296
2014-04-12,AS14.31,2014-04-10-2014-04-11,7.0,0,1,7.5,0.5,0.8999999999999999,0.23689137430731666,0.1569996411891447,0.0581030497685185,0.0009174537037037035,0.0015215682870370368,0.003623894675925926,0.0,0.4722222222222222,0.0018550868055555551,0.058124375000000006
2014-04-13,AS14.31,2014-04-11-2014-04-12,6.8,0,1,7.4,0.6,1.0,0.24673318938851796,0.12705709490097233,0.04042291666666667,0.0011041145833333333,0.0012353124999999999,0.0019821932870370366,0.0,0.4722222222222222,0.0009346932870370367,0.04696067708333334
2014-04-14,AS14.31,2014-04-12-2014-04-13,6.2,1,0,6.9,0.0,0.9,0.2977637620590524,0.09537530092729465,0.010976545138888887,0.00018666087962962964,0.0002105613425925926,0.000296574074074074,0.0,0.3055555555555556,0.0027027488425925934,0.014330856481481486
2014-04-15,AS14.31,2014-04-13-2014-04-14,7.0,1,0,6.5,-0.7,0.5,0.24827372356496186,0.08928662036718044,0.012130543981481483,3.482638888888889e-05,0.0001484027777777778,0.003072065972222222,0.0,0.2222222222222222,0.003830515046296297,0.019891550925925934
2014-04-16,AS14.31,2014-04-14-2014-04-15,6.75,1,0,6.6,-0.4,0.375,0.14237203957081698,0.05477453702853787,0.016524108796296302,0.0003202546296296295,6.555555555555556e-05,0.0028975810185185185,0.0,0.08333333333333333,0.001301116898148148,0.01394447337962963
2014-04-17,AS14.31,2014-04-15-2014-04-16,7.0,1,0,6.875,0.0,0.625,0.15979940717183025,0.04035889467155492,0.019210960648148152,0.0011930613425925926,0.00048320023148148137,0.00025581597222222217,0.0,0.1111111111111111,0.0007422916666666667,0.015454045138888886
