predict_day,user,window,true_mood,weekday,weekend_day,mood,arousal,valence,activity,screen,communication,social,travel,gsm,amusement,system
2014-03-28,AS14.07,2014-03-26-2014-03-27,8.25,0,1,6.699999999999999,0.2,0.5,0.09649698960043784,0.10936534143018506,0.05398567129629632,0.016913125,0.001478640046296297,0.6470588235294118,0.008889953703703705,0.025039728009259264
2014-03-29,AS14.07,2014-03-27-2014-03-28,7.0,0,1,7.525,0.225,0.95,0.0939000452021084,0.13132418981856772,0.05565224537037038,0.02413146990740741,0.004044334490740742,0.3235294117647059,0.014030561342592594,0.02670525462962964
2014-03-30,AS14.07,2014-03-28-2014-03-29,6.2,0,1,7.625,0.225,1.25,0.0699878480204007,0.13633545718397258,0.038931273148148156,0.019666203703703707,0.0055257233796296296,0.17647058823529413,0.04353424189814815,0.025535271990740745
2014-03-31,AS14.07,2014-03-29-2014-03-30,4.333333333333333,1,0,6.6,0.2,0.5,0.052224656903609105,0.11177383101786731,0.0351077314814815,0.0158621238425926,0.0033206134259259256,0.23529411764705882,0.03453232060185185,0.0201686574074074
2014-04-01,AS14.07,2014-03-30-2014-03-31,6.6,1,0,5.266666666666667,-0.4,0.0,0.0569697684945497,0.12689373842682,0.05275826967592594,0.020691684027777782,0.0027425115740740743,0.2647058823529412,0.025471603009259262,0.019727152777777777
2014-04-02,AS14.07,2014-03-31-2014-04-01,5.5,1,0,5.466666666666667,-1.0,0.4,0.06606416737891782,0.16138394675597,0.07169256365740741,0.01955230324074074,0.0012028703703703704,0.5,0.04948296875,0.01695302083333334
2014-04-03,AS14.07,2014-04-01-2014-04-02,6.2,1,0,6.05,-1.125,0.525,0.11847485562115687,0.16220870947810234,0.06727397569444443,0.011635983796296295,0.004117274305555553,0.8235294117647058,0.03750003472222223,0.029977644675925945
2014-04-04,AS14.07,2014-04-02-2014-04-03,6.5,0,1,5.85,-0.825,0.225,0.12322546500648762,0.12386004050158789,0.048946521990740746,0.009573564814814814,0.0056529745370370345,0.6470588235294118,0.03241690972222222,0.028772262731481493
2014-04-05,AS14.07,2014-04-03-2014-04-04,6.0,0,1,6.35,-0.575,0.1,0.06994692656942972,0.10472586227925831,0.05318377893518521,0.01169129050925926,0.0018318229166666674,0.4117647058823529,0.03213396990740741,0.013111273148148146
2014-04-06,AS14.07,2014-04-04-2014-04-05,6.75,0,1,6.25,-0.375,0.3333333333333333,0.14046847882645827,0.08912538773897619,0.036628159722222234,0.01476751736111111,0.0011601157407407409,0.6764705882352942,0.011825885416666666,0.018489542824074078
