indexje,predict_day,user,window,mood,arousal,valence,activity,true_mood,indexje
0,2014-03-25,AS14.01,2014-03-21-2014-03-24,6.3500000000000005,0.45,0.375,0.14815812378750212,6.75,0.0
1,2014-03-26,AS14.01,2014-03-22-2014-03-25,6.4875,0.525,0.45,0.13923912588778165,6.6,1.0
2,2014-03-27,AS14.01,2014-03-23-2014-03-26,6.5375,0.325,0.475,0.10534615149531108,7.0,2.0
3,2014-03-28,AS14.01,2014-03-24-2014-03-27,6.5875,0.325,0.47500000000000003,0.10953853278631955,6.4,3.0
4,2014-03-29,AS14.01,2014-03-25-2014-03-28,6.6875,-0.024999999999999994,0.625,0.11372277416670008,8.0,4.0
5,2014-03-30,AS14.01,2014-03-26-2014-03-29,7.0,-0.09999999999999999,0.75,0.1061799485945408,7.5,5.0
6,2014-03-31,AS14.01,2014-03-27-2014-03-30,7.225,-0.175,0.7875,0.09312611080740732,7.4,6.0
7,2014-04-01,AS14.01,2014-03-28-2014-03-31,7.324999999999999,-0.22499999999999998,0.7375,0.07087482078598033,6.0,7.0
8,2014-04-02,AS14.01,2014-03-29-2014-04-01,7.225,-0.024999999999999994,0.5875,0.0765611260548843,6.5,8.0
9,2014-04-03,AS14.01,2014-03-30-2014-04-02,6.85,0.008333333333333331,0.5041666666666667,0.08498957618897275,6.4,9.0
10,2014-04-04,AS14.01,2014-03-31-2014-04-03,6.574999999999999,-0.16666666666666666,0.31666666666666665,0.08502595173569752,6.2,10.0
11,2014-04-05,AS14.01,2014-04-01-2014-04-04,6.2749999999999995,-0.11666666666666665,0.26666666666666666,0.09907190931668158,6.8,11.0
12,2014-04-06,AS14.01,2014-04-02-2014-04-05,6.4750000000000005,-0.2666666666666667,0.41666666666666663,0.09921167418935896,6.5,12.0
13,2014-04-07,AS14.01,2014-04-03-2014-04-06,6.4750000000000005,-0.5375,0.375,0.08983447139042011,6.5,13.0
14,2014-04-08,AS14.01,2014-04-04-2014-04-07,6.5,-0.4041666666666667,0.4375,0.09019250850688931,6.6,14.0
15,2014-04-09,AS14.01,2014-04-05-2014-04-08,6.6,-0.5541666666666666,0.42083333333333334,0.07735194527039499,7.4,15.0
16,2014-04-10,AS14.01,2014-04-06-2014-04-09,6.75,-0.6541666666666666,0.5208333333333333,0.0776973983526158,7.4,16.0
17,2014-04-11,AS14.01,2014-04-07-2014-04-10,6.975,-0.5666666666666667,0.5958333333333333,0.08133622479072156,7.0,17.0
18,2014-04-12,AS14.01,2014-04-08-2014-04-11,7.1,-0.7,0.7333333333333334,0.0886651200154072,7.25,18.0
19,2014-04-13,AS14.01,2014-04-09-2014-04-12,7.2625,-0.7875000000000001,0.8375,0.08789562081764962,8.0,19.0
20,2014-04-14,AS14.01,2014-04-10-2014-04-13,7.4125,-0.9,0.8375,0.06130492442316012,7.2,20.0
21,2014-04-15,AS14.01,2014-04-11-2014-04-14,7.3625,-1.1,0.7875,0.0625359767419084,6.4,21.0
22,2014-04-16,AS14.01,2014-04-12-2014-04-15,7.2125,-0.8,0.7875000000000001,0.06506746441882458,7.2,22.0
32,2014-04-26,AS14.01,2014-04-22-2014-04-25,7.45,-0.05,0.95,0.07446982319672982,7.6,32.0
33,2014-04-27,AS14.01,2014-04-23-2014-04-26,7.5,-0.15000000000000002,0.95,0.10504962814721552,7.5,33.0
34,2014-04-28,AS14.01,2014-04-24-2014-04-27,7.475,-0.2,0.95,0.10117293681351508,7.6,34.0
35,2014-04-29,AS14.01,2014-04-25-2014-04-28,7.475,-0.30000000000000004,0.8999999999999999,0.09336602039960622,7.0,35.0
36,2014-04-30,AS14.01,2014-04-26-2014-04-29,7.425,-0.3125,0.95,0.09179031662277548,7.8,36.0
37,2014-05-01,AS14.01,2014-04-27-2014-04-30,7.4750000000000005,-0.36250000000000004,0.8875,0.07599098847690358,8.0,37.0
38,2014-05-02,AS14.01,2014-04-28-2014-05-01,7.6,-0.4625,0.8875,0.07763757456407691,7.6,38.0
39,2014-05-03,AS14.01,2014-04-29-2014-05-02,7.6,-0.3125,0.9375,0.0920539987536711,8.0,39.0
40,2014-05-04,AS14.01,2014-04-30-2014-05-03,7.85,-0.3,0.9375,0.084299657845088,8.0,40.0
