,Unnamed: 0,mood,arousal,valence,activity,screen,calls,sms,builtin,communication,entertainment,finance,game,office,other,social,travel,unknown,utilities,weather
3,2014-04-06,7.0,-1.0,0.2,0.08090277777777778,4060.829999446867,3.0,2.0,968.4260000000003,2075.192,0.0,0,136.404,48.857,63.426,1004.3,116.07,0,0.0,25.474
4,2014-04-07,7.6,1.0,0.8,0.08437499999999998,4268.787998676306,0.0,0.0,690.9370000000001,2670.446000000001,0.0,0,121.23,0.0,69.964,656.9970000000002,58.36,0,0.0,0.0
5,2014-04-08,7.6,-0.6,0.8,0.0711805555555556,2996.426999568939,0.0,0.0,1083.4810000000007,1193.049,0.0,0,255.912,0.0,157.368,756.1780000000001,180.676,0,0.0,0.0
6,2014-04-09,7.0,0.4,0.8,0.11215277777777778,5062.94700074196,0.0,0.0,773.6049999999997,2828.066,0.0,0,96.431,0.0,254.451,921.989,187.411,0,0.0,0.0
7,2014-04-10,7.4,-0.2,0.4,0.125,3914.550999641417,0.0,4.0,1097.3529999999996,1929.759,0.0,0,219.773,0.0,73.634,770.1020000000003,120.381,0,1.004,0.0
8,2014-04-11,5.8,0.4,-0.6,0.0857638888888889,2744.952001094818,1.0,0.0,683.6569999999998,712.525,0.0,0,114.861,0.0,46.373999999999995,1186.72,0.0,0,0.0,0.0
9,2014-04-12,7.0,0.25,0.5,0.07713122605363984,3724.4410007,3.0,1.0,2548.4929999999995,1614.3010000000006,0.0,0,148.916,0.0,47.09,1255.997,0.0,0,0.0,0.0
10,2014-04-13,8.75,0.5,1.5,0.13717672413793106,2255.3990004062657,2.0,1.0,636.07,751.3910000000003,0.0,0,30.042,0.0,74.851,762.4780000000003,0.0,0,0.0,0.0
11,2014-04-14,7.6,-0.8,0.8,0.0809027777777778,1172.436998605728,0.0,0.0,472.51799999999986,497.5369999999999,0.0,0,69.95100000000001,0.0,63.226000000000006,39.27799999999999,0.0,0,0.0,29.346999999999998
12,2014-04-15,7.2,-0.6,0.6,0.09026916896235077,4384.615999937057,0.0,0.0,746.2599999999996,2107.4790000000007,0.0,0,141.707,0.0,87.431,1089.749,294.215,0,0.0,0.0
13,2014-04-16,7.8,-1.4,1.0,0.1181810224089636,6687.849000930786,0.0,0.0,927.055,2641.497999999999,0.0,0,113.07600000000001,0.0,102.046,849.533,2053.753,0,0.0,0.0
14,2014-04-17,7.6,0.2,0.8,0.10105333800186746,5559.0779991149875,2.0,0.0,2018.145,1326.5809999999994,0.0,0,112.24600000000001,0.0,107.089,947.82,2643.7909999999997,0,0.0,0.0
15,2014-04-18,8.6,0.0,1.4,0.1159722222222222,2629.149000167847,6.0,0.0,765.4779999999997,1006.05,0.0,0,36.260999999999996,0.0,54.524,558.1640000000001,207.497,0,0.0,0.0
16,2014-04-19,7.5,-0.25,0.5,0.054989495798319334,3839.7219984531403,0.0,0.0,502.782,3045.963,0.0,0,275.675,0.0,82.523,1525.0180000000007,0.0,0,0.0,0.0
17,2014-04-20,7.2,-0.4,0.6,0.18090277777777786,5281.929001092912,3.0,0.0,33100.553,2502.717000000001,0.0,0,209.75,0.0,73.832,1123.832,0.0,0,0.0,0.0
18,2014-04-21,6.8,0.0,0.2,0.07812500000000007,3559.210000276565,1.0,1.0,617.7950000000002,1638.866,0.0,0,104.59299999999999,0.0,56.62600000000001,844.4779999999997,201.699,0,0.0,96.973
19,2014-04-22,7.8,-1.0,0.8,0.09700046685340802,4648.677000284193,6.0,5.0,842.5930000000003,1461.4380000000006,0.0,0,425.1049999999999,0.0,63.215,749.8439999999997,1105.494,0,0.0,0.0
20,2014-04-23,8.0,0.0,0.8,0.07138142791551877,2928.190000057219,1.0,0.0,475.26200000000006,1228.441,0.0,0,269.136,0.0,63.31800000000001,811.373,80.125,0,0.0,0.0
21,2014-04-24,7.6,0.6,0.6,0.08724323062558355,3963.487998962402,6.0,0.0,1329.6490000000006,1758.4739999999995,0.0,0,120.096,0.0,85.74799999999998,642.1959999999998,324.27200000000005,0,0.0,0.0
22,2014-04-25,7.6,1.2,0.6,0.13997140522875814,3674.507999658584,4.0,0.0,910.8099999999997,1550.715,0.0,0,165.071,0.0,431.274,583.658,0.0,0,1.003,30.761
23,2014-04-26,9.333333333333334,0.6666666666666666,1.6666666666666667,0.3618055555555556,5011.954000234605,18.0,0.0,2015.045,1612.0799999999995,0.0,0,0.0,0.0,255.207,481.265,683.8069999999999,0,0.0,60.371
24,2014-04-27,8.0,0.4,0.8,0.12519226354453622,7318.1910009384155,5.0,0.0,1196.4909999999995,3704.3440000000014,0.0,0,42.37900000000001,0.0,64.399,2416.77,79.704,0,0.0,0.0
25,2014-04-28,7.8,0.2,0.8,0.13159722222222214,4951.211998462679,4.0,0.0,820.0120000000003,1259.6740000000002,0.0,0,117.50400000000002,0.0,220.174,1771.3570000000007,761.6519999999997,0,0.0,0.0
26,2014-04-29,7.2,-1.2,0.4,0.08749999999999998,3786.9740011692047,3.0,0.0,819.0549999999995,940.7280000000001,0.0,0,177.04700000000003,0.0,100.953,1748.3430000000005,0.0,0,0.0,0.0
