indexje,predict_day,user,window,mood,arousal,valence,activity,true_mood,indexje
2,2014-03-22,AS14.16,2014-03-19-2014-03-21,6.288888888888889,0.5555555555555555,0.6444444444444445,0.03667543102855109,6.5,2.0
3,2014-03-23,AS14.16,2014-03-20-2014-03-22,6.322222222222223,0.7222222222222222,0.6944444444444443,0.05705633334334739,7.0,3.0
4,2014-03-24,AS14.16,2014-03-21-2014-03-23,6.766666666666667,0.5,0.9166666666666666,0.06526105148215215,6.4,4.0
5,2014-03-25,AS14.16,2014-03-22-2014-03-24,6.633333333333333,0.16666666666666666,0.85,0.08084522353279394,6.0,5.0
6,2014-03-26,AS14.16,2014-03-23-2014-03-25,6.466666666666666,0.19999999999999998,0.7999999999999999,0.08764382975673175,5.6,6.0
7,2014-03-27,AS14.16,2014-03-24-2014-03-26,6.0,0.26666666666666666,0.5499999999999999,0.09503470277260477,6.0,7.0
17,2014-04-06,AS14.16,2014-04-03-2014-04-05,6.483333333333333,-0.2333333333333333,0.7111111111111111,0.08130696401553063,6.75,17.0
18,2014-04-07,AS14.16,2014-04-04-2014-04-06,6.6499999999999995,-0.2888888888888889,0.9333333333333332,0.14381242634180116,7.0,18.0
19,2014-04-08,AS14.16,2014-04-05-2014-04-07,6.916666666666667,-0.2888888888888889,1.0,0.12459452450437063,6.4,19.0
20,2014-04-09,AS14.16,2014-04-06-2014-04-08,6.716666666666666,-0.12222222222222223,0.8888888888888888,0.1087303989498426,7.2,20.0
21,2014-04-10,AS14.16,2014-04-07-2014-04-09,6.866666666666667,-0.06666666666666667,0.8888888888888888,0.12215677271943531,6.6,21.0
22,2014-04-11,AS14.16,2014-04-08-2014-04-10,6.733333333333334,0.06666666666666667,0.8888888888888888,0.13648068616530737,7.0,22.0
23,2014-04-12,AS14.16,2014-04-09-2014-04-11,6.933333333333334,0.2333333333333333,1.0,0.13637296702706045,7.0,23.0
24,2014-04-13,AS14.16,2014-04-10-2014-04-12,6.866666666666667,0.8166666666666668,1.0,0.05632076056082682,6.4,24.0
25,2014-04-14,AS14.16,2014-04-11-2014-04-13,6.8,0.75,0.8333333333333334,0.02834272962179939,7.0,25.0
26,2014-04-15,AS14.16,2014-04-12-2014-04-14,6.8,0.6833333333333332,0.8333333333333334,0.026532687991021334,6.6,26.0
27,2014-04-16,AS14.16,2014-04-13-2014-04-15,6.666666666666667,0.4666666666666666,0.6666666666666666,0.043199354657688004,7.25,27.0
28,2014-04-17,AS14.16,2014-04-14-2014-04-16,6.95,0.8833333333333333,0.8333333333333334,0.07404005457008084,7.0,28.0
29,2014-04-18,AS14.16,2014-04-15-2014-04-17,6.95,0.4166666666666667,0.8333333333333334,0.11147380902071746,6.8,29.0
30,2014-04-19,AS14.16,2014-04-16-2014-04-18,7.016666666666667,0.21666666666666667,1.0,0.0980521570448486,7.2,30.0
31,2014-04-20,AS14.16,2014-04-17-2014-04-19,7.0,0.3333333333333333,1.0,0.11341259898577154,7.0,31.0
32,2014-04-21,AS14.16,2014-04-18-2014-04-20,7.0,0.9777777777777779,1.0,0.06459767169562876,7.25,32.0
33,2014-04-22,AS14.16,2014-04-19-2014-04-21,7.1499999999999995,1.3111111111111111,1.0,0.06441843180973617,6.6,33.0
34,2014-04-23,AS14.16,2014-04-20-2014-04-22,6.95,1.0444444444444443,0.9333333333333332,0.021380422416242207,7.25,34.0
35,2014-04-24,AS14.16,2014-04-21-2014-04-23,7.033333333333334,0.85,0.9333333333333332,0.04871847475429453,5.4,35.0
36,2014-04-25,AS14.16,2014-04-22-2014-04-24,6.416666666666667,0.45,0.5333333333333333,0.0502297201514095,7.2,36.0
37,2014-04-26,AS14.16,2014-04-23-2014-04-25,6.616666666666667,0.3833333333333333,0.6,0.060324163449163394,6.75,37.0
38,2014-04-27,AS14.16,2014-04-24-2014-04-26,6.45,0.3,0.6,0.15128968253968253,7.2,38.0
39,2014-04-28,AS14.16,2014-04-25-2014-04-27,7.05,0.30000000000000004,1.0,0.18730166270927137,8.0,39.0
40,2014-04-29,AS14.16,2014-04-26-2014-04-28,7.316666666666666,0.43333333333333335,1.0,0.22159098449859319,7.0,40.0
41,2014-04-30,AS14.16,2014-04-27-2014-04-29,7.3999999999999995,0.10000000000000002,1.0,0.1152629134150873,7.0,41.0
42,2014-05-01,AS14.16,2014-04-28-2014-04-30,7.333333333333333,0.3,1.0,0.08789606814332729,7.0,42.0
43,2014-05-02,AS14.16,2014-04-29-2014-05-01,7.0,-0.033333333333333326,1.0,0.06001540970711331,8.0,43.0
