predict_day,user,window,true_mood,mood,arousal,valence,activity,screen,communication,office,social,travel,gsm,amusement,system
2014-05-12,AS14.33,2014-05-11-2014-05-11,6.0,6.0,0.0,0.4,0.011163426997135432,0.06176335648806008,0.005839687499999999,0.0,0.048089629629629635,4.6608796296296295e-05,0.0,0.004139317129629629,0.003008020833333332
2014-05-13,AS14.33,2014-05-12-2014-05-12,5.0,6.0,-0.75,0.5,0.0240174121696935,0.17965128472557773,0.012336631944444449,0.0,0.04673109953703704,0.0,0.07692307692307693,0.005495787037037037,0.013848750000000005
2014-05-14,AS14.33,2014-05-13-2014-05-13,6.833333333333332,5.0,0.5,0.0,0.13996388028895773,0.2176061111026339,0.050240416666666635,0.0,0.03834807870370372,7.100694444444445e-05,0.07692307692307693,0.01426045138888889,0.0293392824074074
2014-05-19,AS14.33,2014-05-18-2014-05-18,6.2,6.0,-0.6,0.2,0.01773234767380921,0.21145500000428272,0.023871481481481483,0.0,0.1002147337962963,0.0,0.0,0.008787037037037034,0.03198905092592594
2014-05-20,AS14.33,2014-05-19-2014-05-19,6.25,6.2,-0.2,0.2,0.009146799328914148,0.058482800929082764,0.0042163194444444435,0.0,0.03762394675925927,0.0,0.0,0.003714513888888889,0.00278462962962963
2014-05-21,AS14.33,2014-05-20-2014-05-20,6.0,6.25,-0.5,0.5,0.018382148211167643,0.0915125694539811,0.010040405092592594,0.0,0.0664415162037037,0.0,0.0,0.007596435185185186,0.005640266203703704
2014-05-22,AS14.33,2014-05-21-2014-05-21,5.75,6.0,-0.6666666666666666,-0.2,0.017180909720209924,0.11308706018383853,0.021005925925925928,0.0,0.07051795138888889,0.0,0.0,0.012344930555555557,0.007658321759259258
2014-05-23,AS14.33,2014-05-22-2014-05-22,5.833333333333332,5.75,0.5,0.25,0.011538005032521469,0.05126327547210233,0.014724722222222219,0.0,0.022364421296296302,0.0,0.4615384615384616,0.003130497685185185,0.008780185185185183
2014-05-24,AS14.33,2014-05-23-2014-05-23,6.4,5.833333333333332,-0.8333333333333334,0.0,0.02058661677305744,0.0791645717538066,0.009485613425925922,0.0,0.07455200231481482,0.0,0.15384615384615385,0.01192351851851852,0.011350069444444449
2014-05-25,AS14.33,2014-05-24-2014-05-24,6.25,6.4,-0.75,0.25,0.01428609951201229,0.1258693171320138,0.0262026851851852,0.0,0.06599906250000002,0.0,0.0,0.013078877314814816,0.010971377314814816
2014-05-26,AS14.33,2014-05-25-2014-05-25,5.4,6.25,-0.75,0.3333333333333333,0.16147019196659632,0.08498246526828519,0.01814055555555555,0.0,0.03320221064814813,0.0,0.2307692307692308,0.00224787037037037,0.03222964120370374
2014-05-27,AS14.33,2014-05-26-2014-05-26,6.2,5.4,-0.4,0.0,0.11520148444226025,0.21904152776907992,0.014300196759259259,0.001510763888888889,0.06297759259259259,0.0,1.0,0.007971863425925924,0.012138182870370369
2014-05-28,AS14.33,2014-05-27-2014-05-27,8.2,6.2,-0.6,0.4,0.012704237112874092,0.04733656250768237,0.024055590277777768,0.0,0.023268101851851845,0.0,0.2307692307692308,0.0014432175925925927,0.009057453703703706
2014-05-29,AS14.33,2014-05-28-2014-05-28,7.0,8.2,0.0,1.2,0.10330116965301572,0.16575078701531445,0.022412210648148148,0.004142465277777778,0.06205105324074073,0.0,0.8461538461538461,0.00711465277777778,0.02988092592592592
2014-05-30,AS14.33,2014-05-29-2014-05-29,6.8,7.0,-1.3333333333333333,1.0,0.16935445444293906,0.04131181713331629,0.0050359375000000005,0.0,0.020716689814814816,1.0868055555555556e-05,0.4615384615384616,0.0015826157407407408,0.0046670486111111105
