,Unnamed: 0,mood,arousal,valence,activity,screen,communication,social,travel,gsm,amusement,system
3,2014-03-25,6.2,-0.4,0.6,0.27495405128584044,0.24862753471290616,0.06661211805555553,0.0,0.0020878703703703697,0.0,0.1535345601851852,0.02528489583333333
4,2014-03-26,7.0,-0.25,1.25,0.40504885492795534,0.13187427080339856,0.08063243055555558,0.0016859837962962955,0.000255625,0.4,0.03061765046296297,0.008109803240740737
5,2014-03-27,7.0,0.75,1.25,0.3562184343434343,0.10559276619995088,0.04320018518518517,0.00017479166666666668,0.0004879629629629629,0.0,0.06583300925925925,0.011632164351851852
6,2014-03-28,7.0,0.6,1.2,0.4054120879120879,0.06402993053473806,0.050542719907407385,0.0,6.968749999999999e-05,0.0,0.013835798611111116,0.0027503009259259264
11,2014-04-02,7.0,0.5,1.0,0.4693480702055397,0.13083564815145954,0.05728631944444443,0.00039951388888888887,0.013946319444444449,0.8,0.04092305555555555,0.01744225694444445
12,2014-04-03,7.0,0.5,1.0,0.3605606998977928,0.16828593751346627,0.07070375000000004,0.0005858680555555555,0.0017735763888888888,0.2,0.06966587962962963,0.024300081018518518
13,2014-04-04,7.0,1.0,1.0,0.5438427062553628,0.13834543980934005,0.10118943287037037,0.0003254166666666667,0.0006396064814814813,0.4,0.020483194444444446,0.015182789351851857
14,2014-04-05,6.5,0.75,1.0,0.3916318101453476,0.07535253471522421,0.05990717592592591,0.0,0.0,0.2,0.008346805555555555,0.005713379629629629
15,2014-04-06,7.0,0.0,0.6,0.3032808556039441,0.15516565975767596,0.09338399305555553,0.002312662037037037,0.0008306597222222223,1.0,0.046865162037037035,0.010541851851851849
16,2014-04-07,5.75,-0.25,0.25,0.382308226347741,0.11887247684929104,0.0617403009259259,0.002987164351851852,0.00773037037037037,0.6,0.032382534722222224,0.016005613425925925
17,2014-04-08,6.6,0.2,0.6,0.2301178804855276,0.16528166666350974,0.0541222800925926,0.008918599537037036,0.0014808680555555554,0.0,0.009632638888888885,0.012342407407407404
18,2014-04-09,7.2,-0.4,1.2,0.3817342913496761,0.10640775464199208,0.0854903703703704,0.0010302430555555553,0.0,0.0,0.014942037037037037,0.003774606481481481
19,2014-04-10,7.0,0.0,0.8,0.28412621329988913,0.2565845138938338,0.06605886574074074,0.007738726851851854,0.0,0.2,0.1568478819444445,0.01913627314814816
20,2014-04-11,7.0,0.4,1.0,0.34538736402324105,0.1342528703670811,0.10658560185185184,0.00028202546296296287,0.009462905092592594,0.8,0.00838652777777778,0.00962287037037037
21,2014-04-12,7.75,-0.25,1.0,0.3283472785449071,0.07657282406809147,0.03787459490740742,0.001653530092592592,0.0015798611111111115,0.0,0.02671039351851853,0.0024306134259259263
22,2014-04-13,7.2,0.6,1.0,0.3625992063492064,0.08823909718681268,0.04685685185185185,0.0001253125,0.0,0.2,0.031845590277777766,0.005951875
