predict_day,user,window,true_mood,weekday,weekend_day,mood,arousal,valence,activity,screen,communication,social,gsm,amusement,system
2014-03-21,AS14.05,2014-03-17-2014-03-20,7.25,0,1,6.8625,0.4625,0.7375,0.11217862285815687,0.06871969329400196,0.04338296875,0.0,0.23076923076923078,0.010039892939814816,0.004955787037037037
2014-03-22,AS14.05,2014-03-18-2014-03-21,3.75,0,1,7.175,0.5625,0.8875,0.10388542334235916,0.0612500607656936,0.04481048611111111,0.0,0.28846153846153844,0.008173486689814817,0.003609921874999999
2014-03-23,AS14.05,2014-03-19-2014-03-22,4.4,0,1,6.2375,0.0,0.38749999999999996,0.08022669488668045,0.04570941840126007,0.035224398148148144,0.0,0.11538461538461539,0.00741119212962963,0.0022771296296296294
2014-03-24,AS14.05,2014-03-20-2014-03-23,3.75,1,0,5.65,-0.6,-0.04999999999999999,0.0681146029670679,0.03962147279677017,0.031056883680555557,0.0,0.3076923076923077,0.006595688657407409,0.002330853587962963
2014-03-25,AS14.05,2014-03-21-2014-03-24,5.333333333333333,1,0,4.7875,-1.35,-0.5,0.04013437113871424,0.03760781250066228,0.028643133680555558,0.0,0.3076923076923077,0.00671675925925926,0.005656385995370369
2014-03-26,AS14.05,2014-03-22-2014-03-25,5.5,1,0,4.308333333333334,-1.6,-0.6666666666666666,0.03782666241505735,0.056389131949593614,0.03924536168981482,0.0,0.23076923076923078,0.01340705150462963,0.00628378761574074
2014-03-27,AS14.05,2014-03-23-2014-03-26,5.8,1,0,4.745833333333334,-1.225,-0.3541666666666667,0.04299554162968721,0.07582445891711999,0.05791530092592592,0.0,0.25,0.013620034722222223,0.006737604166666666
2014-03-28,AS14.05,2014-03-24-2014-03-27,6.2,0,1,5.095833333333333,-1.025,-0.05416666666666668,0.04097878238106802,0.09686528646766587,0.07487914641203702,0.0,0.09615384615384616,0.014742329282407405,0.007830425347222222
2014-03-29,AS14.05,2014-03-25-2014-03-28,6.4,0,1,5.708333333333333,-0.525,0.3458333333333333,0.0506759601549633,0.0987152141277437,0.07521191261574073,0.0009982841435185181,0.09615384615384616,0.025087100694444447,0.005094282407407406
2014-03-30,AS14.05,2014-03-26-2014-03-29,6.2,0,1,5.975,-0.375,0.5125,0.06654003361653875,0.07841306134782457,0.06263457175925925,0.0009982841435185181,0.15384615384615385,0.01830841145833334,0.004833940972222221
2014-03-31,AS14.05,2014-03-27-2014-03-30,6.8,1,0,6.1499999999999995,-0.45,0.65,0.07546078372213892,0.06570836227318202,0.05014823206018518,0.0009982841435185181,0.21153846153846156,0.017280963541666673,0.0051615190972222206
2014-04-01,AS14.05,2014-03-28-2014-03-31,7.0,1,0,6.4,-0.4,0.8500000000000001,0.07000214910098594,0.0368157552058498,0.026533072916666664,0.0009982841435185181,0.21153846153846154,0.017664383680555562,0.0038008709490740737
2014-04-02,AS14.05,2014-03-29-2014-04-01,7.0,1,0,6.6000000000000005,-0.4,0.95,0.07820249971265103,0.036341203698819435,0.02373047453703704,0.0010315596064814814,0.19230769230769232,0.008375130208333335,0.004243101851851852
2014-04-03,AS14.05,2014-03-30-2014-04-02,7.2,1,0,6.75,-0.35000000000000003,0.95,0.0703782395685771,0.03881754628762052,0.024201562500000003,0.0019250752314814816,0.11538461538461539,0.009261310763888891,0.0038900520833333326
2014-04-04,AS14.05,2014-03-31-2014-04-03,7.0,0,1,7.0,-0.4,0.95,0.06483623349834254,0.04014904512920314,0.02359755787037037,0.0037907060185185196,0.038461538461538464,0.008947277199074075,0.0050979166666666655
2014-04-05,AS14.05,2014-04-01-2014-04-04,7.5,0,1,7.05,-0.5,0.95,0.06136503394980812,0.06289775462407207,0.04080171874999999,0.0044781799768518525,0.0576923076923077,0.006062488425925926,0.009228174189814814
2014-04-06,AS14.05,2014-04-02-2014-04-05,6.8,0,1,7.175,-0.5,0.95,0.059155653582089116,0.05666736689706645,0.03652980324074073,0.003446620370370371,0.07692307692307693,0.004032754629629629,0.008650651041666665
2014-04-07,AS14.05,2014-04-03-2014-04-06,6.75,1,0,7.125,-0.55,0.95,0.06021477780184918,0.0592855439838712,0.041902578124999985,0.0025705700231481486,0.11538461538461539,0.004716087962962964,0.008372175925925925
2014-04-08,AS14.05,2014-04-04-2014-04-07,6.75,1,0,7.0125,-0.36250000000000004,0.9375,0.06374158007279515,0.06047167824512281,0.0447762962962963,0.000704939236111111,0.13461538461538464,0.004995604745370371,0.007781090856481482
2014-04-09,AS14.05,2014-04-05-2014-04-08,7.0,1,0,6.95,-0.1,0.6875,0.07465864424378628,0.04123737269184656,0.03015000868055556,1.746527777777778e-05,0.09615384615384616,0.009995925925925924,0.003925526620370371
2014-04-10,AS14.05,2014-04-06-2014-04-09,7.2,1,0,6.825,-0.037500000000000006,0.625,0.09574126640538533,0.05691594039331434,0.044345231481481485,3.818576388888889e-05,0.09615384615384616,0.012061559606481479,0.004572222222222223
2014-04-11,AS14.05,2014-04-07-2014-04-10,7.0,0,1,6.925,0.2625,0.625,0.07973738690287474,0.054317251156877605,0.040005905671296305,0.0007662760416666666,0.07692307692307693,0.012039045138888888,0.0051259230324074085
2014-04-12,AS14.05,2014-04-08-2014-04-11,7.0,0,1,6.9875,0.375,0.5875,0.08667652586713015,0.05684247974858242,0.04220893229166666,0.0009761805555555554,0.057692307692307696,0.012626944444444442,0.006615506365740742
2014-04-13,AS14.05,2014-04-09-2014-04-12,7.5,0,1,7.05,-0.03749999999999998,0.8375,0.07772004511599094,0.07649515913868395,0.05837109085648148,0.0031954311342592603,0.09615384615384617,0.008375815972222221,0.00702377025462963
2014-04-14,AS14.05,2014-04-10-2014-04-13,6.4,1,0,7.175,-0.01666666666666665,0.9,0.06784715277935756,0.0604159982647333,0.045176788194444435,0.0037494675925925933,0.3269230769230769,0.006265014467592592,0.007358006365740742
2014-04-15,AS14.05,2014-04-11-2014-04-14,7.0,1,0,6.975,-0.5166666666666666,0.75,0.08994123402249363,0.06237836805551694,0.04342305555555555,0.006305503472222224,0.3076923076923077,0.004846302083333333,0.007950081018518518
2014-04-16,AS14.05,2014-04-12-2014-04-15,7.2,1,0,6.975,-0.5166666666666666,0.8,0.08061155866764838,0.06719662326353568,0.04202053819444445,0.01061494791666667,0.3076923076923077,0.004992731481481481,0.00616427951388889
2014-04-17,AS14.05,2014-04-13-2014-04-16,6.6,1,0,7.0249999999999995,-0.31666666666666665,0.75,0.09469920214062548,0.04547859953923357,0.024678793402777784,0.009733964120370371,0.25,0.00413462673611111,0.005686082175925926
2014-04-18,AS14.05,2014-04-14-2014-04-17,7.5,0,1,6.800000000000001,-0.30000000000000004,0.65,0.09492697018527306,0.054485813078505016,0.03166121817129631,0.011571556712962965,0.0,0.004815824652777776,0.005699525462962963
2014-04-19,AS14.05,2014-04-15-2014-04-18,7.2,0,1,7.074999999999999,0.06250000000000001,0.8,0.09828796071248032,0.060005153359638304,0.03939062210648149,0.010820760995370373,0.038461538461538464,0.006079973958333333,0.006939811921296297
2014-04-20,AS14.05,2014-04-16-2014-04-19,7.2,0,1,7.125,-0.1875,0.8,0.09918557095722849,0.045251634843233544,0.030258272569444446,0.008918295717592593,0.07692307692307693,0.004463923611111112,0.006158096064814815
2014-04-21,AS14.05,2014-04-17-2014-04-20,7.2,1,0,7.125,-0.3375,0.8500000000000001,0.08161896135616636,0.062134429982828865,0.0416160474537037,0.011837123842592594,0.07692307692307693,0.005576354166666667,0.006838394097222222
2014-04-22,AS14.05,2014-04-18-2014-04-21,7.2,1,0,7.2749999999999995,-0.5875,0.95,0.0783037119658137,0.0689728472285249,0.04699055266203703,0.011298457754629631,0.07692307692307693,0.005371973379629631,0.006912980324074074
2014-04-23,AS14.05,2014-04-19-2014-04-22,7.2,1,0,7.2,-0.55,0.95,0.06522385509856748,0.0654868518609416,0.04135995659722222,0.012949377893518518,0.07692307692307693,0.003789140625,0.005208587962962963
2014-04-24,AS14.05,2014-04-20-2014-04-23,7.2,1,0,7.2,-0.6,1.0,0.07023883186207328,0.07213137731507975,0.04801291666666666,0.012902381365740739,0.057692307692307696,0.006457581018518519,0.005538749999999999
2014-04-25,AS14.05,2014-04-21-2014-04-24,7.2,0,1,7.2,-0.4875,1.0,0.07123585022310652,0.06475271412274906,0.04492834490740741,0.010218969907407404,0.057692307692307696,0.004951877893518519,0.005444693287037036
