predict_day,user,window,true_mood,weekday,weekend_day,mood,arousal,valence,activity,screen,communication,social,travel,weather,gsm,amusement,system
2014-04-20,AS14.26,2014-04-16-2014-04-19,8.0,0,1,7.0,0.45,0.45,0.11501988351603254,0.06736614005364204,0.02020535300925926,0.037410749421296303,0.0003121383101851852,0.0,0.3214285714285714,0.0,0.11207146701388888
2014-04-21,AS14.26,2014-04-17-2014-04-20,6.4,1,0,7.3,0.55,0.65,0.10176287480612291,0.07779061342968985,0.021432430555555555,0.046959644097222225,0.0003121383101851852,0.0,0.25,0.00018599247685185185,0.052268958333333344
2014-04-22,AS14.26,2014-04-18-2014-04-21,7.25,1,0,7.4,0.5,0.7,0.1048791954869376,0.0824635329897757,0.02090424479166667,0.05249245659722223,0.0,0.0,0.25,0.000737332175925926,0.05019555266203705
2014-04-23,AS14.26,2014-04-19-2014-04-22,6.2,1,0,7.4125,0.47500000000000003,0.75,0.11246466913422627,0.07413479167485126,0.019315830439814816,0.041314403935185186,0.0,1.799479166666666e-05,0.0,0.000737332175925926,0.05605104166666668
2014-04-24,AS14.26,2014-04-20-2014-04-23,5.8,1,0,6.9624999999999995,0.27499999999999997,0.55,0.08254137243633418,0.08392175347992668,0.020462317708333334,0.046685399305555556,0.0,5.336226851851851e-05,0.07142857142857142,0.0007694704861111112,0.027026747685185204
2014-04-25,AS14.26,2014-04-21-2014-04-24,6.6,0,1,6.4125000000000005,0.125,0.19999999999999998,0.0935426483446486,0.08486008102971097,0.02859437210648148,0.03718712094907408,0.0,0.00016116898148148148,0.14285714285714285,0.0007757957175925927,0.04702932002314818
2014-04-26,AS14.26,2014-04-22-2014-04-25,8.0,0,1,6.4625,0.22499999999999998,0.3,0.09762550792240257,0.09073121818334419,0.03485420138888889,0.03507503472222223,0.000397103587962963,0.00046153645833333333,0.17857142857142855,0.00035282986111111116,0.06667792245370374
2014-04-27,AS14.26,2014-04-23-2014-04-26,7.8,0,1,6.65,0.35,0.3,0.14184972172264942,0.0861590943347525,0.03672848958333333,0.03325741030092593,0.0007405237268518518,0.0004435416666666667,0.2857142857142857,0.000514375,0.050013405671296314
2014-04-28,AS14.26,2014-04-24-2014-04-27,8.0,1,0,7.05,0.5,0.45,0.13752118655318119,0.07394047164944587,0.03406555555555556,0.025631383101851854,0.001022572337962963,0.00048098090277777777,0.42857142857142855,0.0007065596064814815,0.04759250000000002
2014-04-29,AS14.26,2014-04-25-2014-04-28,6.6,1,0,7.6,0.75,0.8,0.1583066229028623,0.0687477835640311,0.030798472222222224,0.024670196759259265,0.001022572337962963,0.0003731741898148148,0.49999999999999994,0.0012135908564814813,0.028475630787037045
2014-04-30,AS14.26,2014-04-26-2014-04-29,6.2,1,0,7.6,0.85,0.7999999999999999,0.1550934137982919,0.053639745372864936,0.02156271701388889,0.02021415219907408,0.0006254687499999999,0.0002444299768518518,0.46428571428571425,0.0010852170138888888,0.010233081597222221
2014-05-01,AS14.26,2014-04-27-2014-04-30,6.8,1,0,7.1499999999999995,0.5499999999999999,0.6000000000000001,0.1050696838639078,0.05813119502393184,0.024096030092592598,0.021752335069444448,0.0002820486111111111,0.0002444299768518518,0.3571428571428571,0.0010324016203703702,0.010983802083333332
