predict_day,user,window,mood,arousal,valence,activity,true_mood
2014-03-29,AS14.06,2014-03-27-2014-03-28,7.3,0.024999999999999994,0.525,0.15189969970048928,7.8
2014-03-30,AS14.06,2014-03-28-2014-03-29,7.699999999999999,-0.1,0.9,0.14152583827648707,7.8
2014-03-31,AS14.06,2014-03-29-2014-03-30,7.8,0.0,0.9,0.16143936741363218,7.0
2014-04-01,AS14.06,2014-03-30-2014-03-31,7.4,-0.1,0.6000000000000001,0.18595165468282032,7.75
2014-04-02,AS14.06,2014-03-31-2014-04-01,7.375,-0.1,0.575,0.19322954014689492,6.8
2014-04-03,AS14.06,2014-04-01-2014-04-02,7.275,-0.3,0.575,0.19420307220543787,7.2
2014-04-04,AS14.06,2014-04-02-2014-04-03,7.0,-0.3,0.4,0.18606320955235042,7.0
2014-04-05,AS14.06,2014-04-03-2014-04-04,7.1,-0.2,0.30000000000000004,0.17954885381005353,7.0
2014-04-06,AS14.06,2014-04-04-2014-04-05,7.0,-0.4,0.5,0.22089885566629758,7.0
2014-04-07,AS14.06,2014-04-05-2014-04-06,7.0,-0.7,0.6000000000000001,0.15634981322323335,6.2
2014-04-08,AS14.06,2014-04-06-2014-04-07,6.6,-0.8,0.2,0.10768646714538654,6.6
2014-04-09,AS14.06,2014-04-07-2014-04-08,6.4,-0.4,0.0,0.18494788466193696,7.4
2014-04-10,AS14.06,2014-04-08-2014-04-09,7.0,0.1,0.4,0.13902226745149004,7.6
2014-04-11,AS14.06,2014-04-09-2014-04-10,7.5,0.1,0.8,0.1636901101993981,7.8
2014-04-12,AS14.06,2014-04-10-2014-04-11,7.699999999999999,-0.2,0.9,0.21510047736556737,8.2
2014-04-13,AS14.06,2014-04-11-2014-04-12,8.0,0.1,1.0,0.21991447056191354,6.5
2014-04-14,AS14.06,2014-04-12-2014-04-13,7.35,-0.55,0.625,0.28932688226805875,7.25
2014-04-15,AS14.06,2014-04-13-2014-04-14,6.875,-0.875,0.5,0.2617422354149672,7.0
2014-04-16,AS14.06,2014-04-14-2014-04-15,7.125,-0.325,0.675,0.1896532724692267,7.6
2014-04-17,AS14.06,2014-04-15-2014-04-16,7.3,-0.2,0.5,0.1728143459714092,6.8
2014-04-18,AS14.06,2014-04-16-2014-04-17,7.199999999999999,0.1,0.5,0.14836788864451717,6.25
2014-04-19,AS14.06,2014-04-17-2014-04-18,6.525,-0.4,0.55,0.14894308393452438,6.8
2014-04-28,AS14.06,2014-04-26-2014-04-27,7.35,-0.3,1.0,0.1331565308415033,6.75
2014-04-29,AS14.06,2014-04-27-2014-04-28,6.975,-0.425,0.75,0.11602013714260957,7.25
2014-04-30,AS14.06,2014-04-28-2014-04-29,7.0,-0.125,0.75,0.17376077535391266,6.8
2014-05-01,AS14.06,2014-04-29-2014-04-30,7.025,-0.3,0.8,0.14204069669958053,8.0
2014-05-02,AS14.06,2014-04-30-2014-05-01,7.4,-0.3,0.8,0.21780556104987903,7.2
2014-05-03,AS14.06,2014-05-01-2014-05-02,7.6,-0.375,1.0,0.25599524903399,6.25
2014-05-04,AS14.06,2014-05-02-2014-05-03,6.725,-0.75,0.5,0.20276118404047117,7.6
2014-05-05,AS14.06,2014-05-03-2014-05-04,6.925,-0.775,0.375,0.19367463587502187,7.0
