indexje,predict_day,user,window,mood,arousal,valence,activity,true_mood,indexje
4,2014-04-08,AS14.31,2014-04-06-2014-04-07,6.6,0.1,0.2,0.15721712696323076,7.0,4.0
5,2014-04-09,AS14.31,2014-04-07-2014-04-08,6.8,0.4,0.4,0.1450334927406084,7.0,5.0
6,2014-04-10,AS14.31,2014-04-08-2014-04-09,7.0,0.4,0.6,0.18137846637290983,7.2,6.0
7,2014-04-11,AS14.31,2014-04-09-2014-04-10,7.1,0.30000000000000004,0.6,0.21049819251342064,7.8,7.0
8,2014-04-12,AS14.31,2014-04-10-2014-04-11,7.5,0.5,0.8999999999999999,0.23689137430731666,7.0,8.0
9,2014-04-13,AS14.31,2014-04-11-2014-04-12,7.4,0.6,1.0,0.24673318938851796,6.8,9.0
10,2014-04-14,AS14.31,2014-04-12-2014-04-13,6.9,0.0,0.9,0.2977637620590524,6.2,10.0
11,2014-04-15,AS14.31,2014-04-13-2014-04-14,6.5,-0.7,0.5,0.24827372356496186,7.0,11.0
12,2014-04-16,AS14.31,2014-04-14-2014-04-15,6.6,-0.4,0.375,0.14237203957081698,6.75,12.0
13,2014-04-17,AS14.31,2014-04-15-2014-04-16,6.875,0.0,0.625,0.15979940717183025,7.0,13.0
14,2014-04-18,AS14.31,2014-04-16-2014-04-17,6.875,0.3,0.75,0.16634280376148752,6.8,14.0
15,2014-04-19,AS14.31,2014-04-17-2014-04-18,6.9,0.4,0.9,0.12985167465059202,7.8,15.0
16,2014-04-20,AS14.31,2014-04-18-2014-04-19,7.3,0.5,1.0,0.2732839763945958,8.0,16.0
17,2014-04-21,AS14.31,2014-04-19-2014-04-20,7.9,1.0,1.4,0.4326510078188661,6.4,17.0
18,2014-04-22,AS14.31,2014-04-20-2014-04-21,7.2,0.7,1.0,0.26279420524204644,7.0,18.0
19,2014-04-23,AS14.31,2014-04-21-2014-04-22,6.7,0.1,0.7,0.13300132067796208,7.0,19.0
26,2014-04-30,AS14.31,2014-04-28-2014-04-29,6.9,0.5666666666666667,0.9,0.11870695592286501,7.0,26.0
27,2014-05-01,AS14.31,2014-04-29-2014-04-30,7.0,0.3666666666666667,0.9,0.12659129500332475,7.0,27.0
28,2014-05-02,AS14.31,2014-04-30-2014-05-01,7.0,0.6000000000000001,0.9,0.0910100148560996,7.0,28.0
29,2014-05-03,AS14.31,2014-05-01-2014-05-02,7.0,0.9,1.0,0.13590456810025897,7.4,29.0
30,2014-05-04,AS14.31,2014-05-02-2014-05-03,7.2,1.0,1.1,0.14399280571676026,7.2,30.0
31,2014-05-05,AS14.31,2014-05-03-2014-05-04,7.300000000000001,0.9,1.1,0.03352907080036436,7.0,31.0
