indexje,predict_day,user,window,mood,arousal,valence,activity,true_mood,indexje
0,2014-03-29,AS14.12,2014-03-27-2014-03-28,6.875,-0.25,0.875,0.13023961693932648,6.75,0.0
1,2014-03-30,AS14.12,2014-03-28-2014-03-29,6.75,0.5,0.875,0.119131883372968,5.8,1.0
2,2014-03-31,AS14.12,2014-03-29-2014-03-30,6.275,0.4,0.625,0.08803886935813296,6.4,2.0
3,2014-04-01,AS14.12,2014-03-30-2014-03-31,6.1,0.1,0.325,0.061274579677394664,6.4,3.0
4,2014-04-02,AS14.12,2014-03-31-2014-04-01,6.4,0.4,0.575,0.10666932245423205,6.0,4.0
5,2014-04-03,AS14.12,2014-04-01-2014-04-02,6.2,0.0,0.5416666666666666,0.14392619116338146,5.4,5.0
6,2014-04-04,AS14.12,2014-04-02-2014-04-03,5.7,0.0,0.16666666666666666,0.1522007486630102,6.5,6.0
7,2014-04-05,AS14.12,2014-04-03-2014-04-04,5.95,0.575,0.3333333333333333,0.1480605801642691,6.2,7.0
8,2014-04-06,AS14.12,2014-04-04-2014-04-05,6.35,0.375,0.5333333333333333,0.1445391019587357,6.25,8.0
9,2014-04-07,AS14.12,2014-04-05-2014-04-06,6.225,0.125,0.575,0.11875471645180097,6.4,9.0
10,2014-04-08,AS14.12,2014-04-06-2014-04-07,6.325,0.225,0.875,0.10643311941503711,6.25,10.0
11,2014-04-09,AS14.12,2014-04-07-2014-04-08,6.325,0.1,0.625,0.1216550454749162,5.25,11.0
12,2014-04-10,AS14.12,2014-04-08-2014-04-09,5.75,0.0,-0.125,0.14158585031859977,6.4,12.0
13,2014-04-11,AS14.12,2014-04-09-2014-04-10,5.825,0.1,0.04999999999999999,0.14966875623780784,6.6,13.0
14,2014-04-12,AS14.12,2014-04-10-2014-04-11,6.5,-0.15,0.8,0.10266573344920704,6.8,14.0
15,2014-04-13,AS14.12,2014-04-11-2014-04-12,6.699999999999999,-0.25,0.9,0.07777134888052745,5.6,15.0
16,2014-04-14,AS14.12,2014-04-12-2014-04-13,6.199999999999999,0.3,0.4,0.08970766962922061,6.6,16.0
17,2014-04-15,AS14.12,2014-04-13-2014-04-14,6.1,0.09999999999999998,0.4,0.09140375537011625,6.8,17.0
18,2014-04-16,AS14.12,2014-04-14-2014-04-15,6.699999999999999,-0.1,0.9,0.10373734145547009,7.0,18.0
19,2014-04-17,AS14.12,2014-04-15-2014-04-16,6.9,0.1,1.0,0.1590748648694459,6.8,19.0
20,2014-04-18,AS14.12,2014-04-16-2014-04-17,6.9,-0.3,0.9,0.16458043430235786,6.6,20.0
21,2014-04-19,AS14.12,2014-04-17-2014-04-18,6.699999999999999,-0.6,0.8,0.10552037957476784,5.8,21.0
22,2014-04-20,AS14.12,2014-04-18-2014-04-19,6.199999999999999,-0.09999999999999998,0.6000000000000001,0.12357217441454116,6.4,22.0
23,2014-04-21,AS14.12,2014-04-19-2014-04-20,6.1,0.4,0.7,0.19371624558758954,6.0,23.0
24,2014-04-22,AS14.12,2014-04-20-2014-04-21,6.2,0.07500000000000001,0.875,0.1452490870936368,6.5,24.0
25,2014-04-23,AS14.12,2014-04-21-2014-04-22,6.25,0.0,0.875,0.11742898678280068,5.8,25.0
26,2014-04-24,AS14.12,2014-04-22-2014-04-23,6.15,0.125,0.9,0.1395604761039706,6.6,26.0
27,2014-04-25,AS14.12,2014-04-23-2014-04-24,6.199999999999999,-0.3,0.7,0.09985834373624666,5.6,27.0
28,2014-04-26,AS14.12,2014-04-24-2014-04-25,6.1,-0.19999999999999998,0.4,0.10995075106351192,7.0,28.0
29,2014-04-27,AS14.12,2014-04-25-2014-04-26,6.3,0.225,0.6,0.2336279038701991,6.0,29.0
